Id,ItemId,RM,PRO,FIN,Mid
24671,58453,1,0,0,4264
24672,58453,0,1,0,4264
24673,59154,0,1,0,4265
24674,59154,1,0,0,4265
24675,59707,1,0,0,4266
24676,59707,0,1,0,4266
24677,59705,1,0,0,4267
24678,59705,0,1,0,4267
24679,59706,1,0,0,4267
24680,59706,0,1,0,4267
24681,59016,1,0,0,4267
24682,59016,0,1,0,4267
24683,59893,1,0,0,4267
24684,59893,0,1,0,4267
24685,59022,1,0,0,4267
24686,59022,0,1,0,4267
24687,59892,1,0,0,4267
24688,59892,0,1,0,4267
24689,59015,1,0,0,4268
24690,59015,0,1,0,4268
24691,59057,1,0,0,4268
24692,59057,0,1,0,4268
24693,59042,1,0,0,4268
24694,59042,0,1,0,4268
24695,59130,1,0,0,4268
24696,59130,0,1,0,4268
24697,59178,1,0,0,4268
24698,59178,0,1,0,4268
24699,59194,1,0,0,4268
24700,59194,0,1,0,4268
24701,58449,0,0,1,4269
24702,58458,0,0,1,4270
24705,59300,0,0,1,4273
24706,59338,0,0,1,4273
24707,59391,0,0,1,4273
24708,59185,0,0,1,4273
24709,59390,0,0,1,4273
24710,59115,0,0,1,4273
24711,59289,0,0,1,4273
24712,59297,0,0,1,4273
24713,59339,0,0,1,4273
24714,59106,0,0,1,4273
24715,59121,0,0,1,4273
24716,59031,0,0,1,4273
24717,59384,0,0,1,4274
24718,59139,0,0,1,4274
24719,59212,0,0,1,4274
24720,59104,0,0,1,4274
24721,59183,0,0,1,4274
24722,58918,0,0,1,4274
24723,59144,0,0,1,4274
24724,59188,0,0,1,4274
24725,59034,0,0,1,4274
24726,59329,0,0,1,4274
24727,59110,0,0,1,4274
24728,59303,0,0,1,4274
24729,59331,0,0,1,4274
24730,59282,0,0,1,4274
24731,59117,1,0,0,4274
24732,59372,1,0,0,4274
24733,59406,0,0,1,4274
24734,59363,0,0,1,4274
24735,59422,0,0,1,4275
24736,59429,0,0,1,4275
24737,59424,0,0,1,4275
24738,59426,0,0,1,4275
24739,59702,0,0,1,4275
24740,59305,0,0,1,4275
24741,58920,0,0,1,4275
24742,59898,0,0,1,4275
24743,59899,0,0,1,4275
24744,59199,0,0,1,4275
24745,59373,0,0,1,4275
24746,59287,0,0,1,4275
24747,59365,0,0,1,4275
24748,59359,0,0,1,4275
24749,59126,0,0,1,4275
24750,59361,0,0,1,4275
24751,59367,0,0,1,4275
24752,60064,1,0,0,4276
24753,60064,0,1,0,4276
24754,59427,0,0,1,4277
24755,59210,0,0,1,4277
24756,59218,0,0,1,4277
24757,59235,0,0,1,4277
24758,59407,0,0,1,4277
24759,59170,0,0,1,4277
24760,59420,0,0,1,4277
24761,59699,0,0,1,4278
24762,59254,0,0,1,4278
24763,58450,0,0,1,4278
24764,59737,0,0,1,4279
24765,59636,0,0,1,4279
24766,59624,0,0,1,4279
24767,59623,0,0,1,4279
24768,59733,1,0,0,4280
24769,59888,1,0,0,4280
24770,59889,1,0,0,4280
24771,59857,1,0,0,4280
24772,58188,1,0,0,4280
24773,59621,1,0,0,4280
24774,59622,1,0,0,4280
24775,59634,1,0,0,4280
24776,59635,1,0,0,4280
24777,59753,1,0,0,4280
24778,59754,1,0,0,4280
24779,59761,1,0,0,4280
24780,59771,1,0,0,4280
24781,59774,1,0,0,4280
24782,59802,1,0,0,4280
24783,59467,1,0,0,4281
24784,59468,1,0,0,4281
24785,59474,1,0,0,4281
24786,59496,1,0,0,4281
24787,59500,1,0,0,4281
24788,59537,1,0,0,4281
24789,59570,1,0,0,4281
24790,59577,1,0,0,4281
24791,59408,0,0,1,4282
24792,59410,0,0,1,4282
24793,59748,0,0,1,4282
24794,59746,0,0,1,4282
24795,59683,0,0,1,4282
24796,59681,0,0,1,4282
24797,58454,0,0,1,4282
24798,58922,0,0,1,4282
24799,59642,0,0,1,4282
24801,58170,1,0,0,4284
24802,58170,0,1,0,4284
24803,58110,1,0,0,4284
24804,58110,0,1,0,4284
24805,58109,1,0,0,4284
24806,58109,0,1,0,4284
24807,58019,1,0,0,4284
24808,58019,0,1,0,4284
24809,57896,1,0,0,4284
24810,57896,0,1,0,4284
24811,57563,1,0,0,4284
24812,57563,0,1,0,4284
24813,57561,1,0,0,4284
24814,57561,0,1,0,4284
24815,57716,1,0,0,4285
24816,57716,0,1,0,4285
24817,57693,1,0,0,4285
24818,57693,0,1,0,4285
24819,59981,1,0,0,4286
24820,59981,0,1,0,4286
24821,59979,1,0,0,4286
24822,59979,0,1,0,4286
24823,59788,1,0,0,4286
24824,59788,0,1,0,4286
24825,59574,1,0,0,4286
24826,59574,0,1,0,4286
24827,59980,1,0,0,4286
24828,59980,0,1,0,4286
24829,59978,1,0,0,4286
24830,59978,0,1,0,4286
24831,59458,1,0,0,4286
24832,59458,0,1,0,4286
24833,59549,1,0,0,4286
24834,59549,0,1,0,4286
24835,59907,1,0,0,4286
24836,59907,0,1,0,4286
24837,59961,1,0,0,4286
24838,59961,0,1,0,4286
24839,59945,1,0,0,4286
24840,59945,0,1,0,4286
24841,59974,1,0,0,4286
24842,59974,0,1,0,4286
24843,59910,1,0,0,4286
24844,59910,0,1,0,4286
24847,57697,0,0,1,4287
24848,58010,0,0,1,4287
24849,58140,0,0,1,4287
24850,58017,0,0,1,4287
24851,58003,0,0,1,4287
24852,57578,0,0,1,4287
24853,57763,0,0,1,4287
24854,57768,0,0,1,4287
24855,57729,0,0,1,4287
24856,57893,0,0,1,4287
24857,58118,0,0,1,4287
24858,59456,1,0,0,4288
24859,59456,0,1,0,4288
