Id,MId,PONo,PRNo,PRId,SPRNo,SPRId,Qty,Rate,Discount,AddDesc,PF,ExST,VAT,DelDate,AmendmentNo,BudgetCode,PODId
43604,8075,0680,0129,42898,,0,5.0,115.5,30.0,-,1,31,94,2021-10-12,3,2,62912
43605,8076,0855,0208,43119,,0,3000.0,110.0,0.0,,1,31,94,2021-12-10,0,1,63431
43606,8077,0855,0208,43119,,0,3000.0,110.0,0.0,,1,31,94,2021-12-10,0,1,63431
43607,8078,0855,0208,43119,,0,3000.0,110.0,0.0,,1,31,94,2021-12-10,0,1,63431
43608,8079,0851,,0,0766,25759,4.0,72.0,0.0,,1,31,94,2021-12-08,0,1,63422
43609,8079,0851,,0,0766,25758,2.0,390.0,0.0,,1,31,94,2021-12-08,0,1,63423
43610,8080,0844,,0,0760,25749,40.0,250.0,0.0,,1,31,94,2021-12-06,0,1,63408
43611,8080,0844,,0,0760,25748,40.0,100.0,0.0,,1,31,94,2021-12-06,1,1,63409
43612,8080,0844,,0,0760,25747,40.0,100.0,0.0,,1,31,94,2021-12-06,1,1,63410
43613,8081,0785,,0,0700,25609,145.0,7.0,0.0,,1,31,94,2021-11-27,0,1,63254
43614,8082,0792,,0,0706,25634,20.0,280.0,0.0,,1,31,94,2021-11-30,1,1,63281
43615,8083,0792,,0,0706,25634,20.0,380.0,0.0,,1,31,94,2021-12-11,2,1,63281
43616,8084,0862,,0,0779,25804,37.9,540.0,0.0,,1,31,94,2021-12-12,0,1,63466
43617,8084,0862,,0,0779,25805,51.6,130.72,0.0,,1,31,94,2021-12-12,0,0,63467
43618,8084,0862,,0,0779,25806,40.0,80.0,0.0,,1,31,94,2021-12-12,0,1,63468
43619,8084,0862,,0,0779,25807,9.4,82.5,0.0,,1,31,94,2021-12-12,0,1,63469
43620,8085,0865,,0,0781,25812,2.0,55.0,0.0,,1,31,94,2021-12-13,0,0,63477
43621,8085,0865,,0,0781,25811,1.0,30.0,0.0,,1,31,94,2021-12-13,0,0,63478
43622,8085,0865,,0,0781,25810,1.0,380.0,0.0,,1,31,94,2021-12-13,0,0,63479
43623,8085,0865,,0,0781,25816,50.0,2.0,50.0,,1,31,94,2021-12-13,0,2,63480
43624,8085,0865,,0,0781,25815,50.0,1.0,0.0,,1,31,94,2021-12-13,0,2,63481
43625,8085,0865,,0,0781,25814,150.0,0.1,0.0,,1,31,94,2021-12-13,0,2,63482
43626,8085,0865,,0,0781,25813,87.0,19.35,25.0,,1,31,94,2021-12-13,0,2,63483
43627,8086,0847,,0,0762,25752,200.0,95.0,0.0,"Size : 815 x 540
nos : 100",1,31,94,2021-12-09,1,1,63416
43628,8087,0867,0214,43200,,0,12.0,80.0,0.0,,1,31,94,2021-12-13,0,1,63492
43629,8088,0850,,0,0765,25756,23.0,490.0,0.0,,1,1,1,2021-12-08,0,0,63420
43630,8088,0850,,0,0765,25757,12.0,440.0,0.0,,1,1,1,2021-12-08,0,0,63421
43631,8089,0859,,0,0774,25784,1.0,800.0,0.0,,1,31,94,2021-12-12,0,1,63451
43632,8089,0859,,0,0774,25785,1.0,1500.0,0.0,,1,31,94,2021-12-12,0,1,63452
43633,8090,0878,,0,0794,25868,2.0,390.0,0.0,,1,31,94,2021-12-15,0,2,63531
43634,8090,0878,,0,0794,25869,4.0,72.5,30.0,,1,30,94,2021-12-15,0,2,63532
43635,8091,0841,,0,0757,25740,8.0,35.0,0.0,,1,31,94,2021-12-05,0,1,63401
43636,8091,0841,,0,0757,25741,2.0,60.0,0.0,,1,31,94,2021-12-05,0,1,63402
43637,8092,0880,,0,0797,25875,20.0,95.0,0.0,,1,31,94,2021-12-15,0,2,63534
43638,8092,0880,,0,0797,25874,4.0,250.0,0.0,,1,31,94,2021-12-15,0,2,63535
43639,8092,0880,,0,0797,25873,20.0,160.0,0.0,,1,31,94,2021-12-15,0,2,63536
43640,8093,0844,,0,0760,25749,40.0,250.0,0.0,,1,31,94,2021-12-06,0,1,63408
43641,8093,0844,,0,0760,25748,40.0,100.0,0.0,,1,31,94,2021-12-06,1,1,63409
43642,8093,0844,,0,0760,25747,40.0,120.0,0.0,,1,31,94,2021-12-06,2,1,63410
43643,8094,0788,,0,0702,25623,2900.0,55.2,0.0,1000 MTR,1,31,94,2021-11-29,0,1,63270
43644,8094,0788,,0,0702,25624,1800.0,55.2,0.0,500 MTR,1,31,94,2021-11-29,0,1,63271
43645,8094,0788,,0,0702,25625,2090.0,57.2,0.0,,1,31,94,2021-11-29,0,1,63272
43646,8094,0788,,0,0702,25626,724.5,56.2,0.0,350 MTR,1,31,94,2021-11-29,1,1,63273
43647,8094,0788,,0,0702,25627,3000.0,52.3,0.0,400 MTR,1,31,94,2021-11-29,1,1,63274
43648,8094,0788,,0,0702,25628,720.0,52.7,0.0,160 MTR,1,31,94,2021-11-29,0,1,63275
43649,8095,0788,,0,0702,25623,2900.0,55.5,0.0,1000 MTR,1,31,94,2021-11-29,2,1,63270
43650,8095,0788,,0,0702,25624,1850.0,55.5,0.0,500 MTR,1,31,94,2021-11-29,2,1,63271
43651,8095,0788,,0,0702,25625,1842.0,57.7,0.0,,1,31,94,2021-11-29,2,1,63272
43652,8095,0788,,0,0702,25626,618.0,56.2,0.0,350 MTR,1,31,94,2021-11-29,2,1,63273
43653,8095,0788,,0,0702,25627,2265.0,52.6,0.0,400 MTR,1,31,94,2021-11-29,2,1,63274
43654,8095,0788,,0,0702,25628,708.0,53.0,0.0,160 MTR,1,31,94,2021-11-29,2,1,63275
43655,8096,0668,,0,0614,25362,200.0,160.0,0.0,,1,31,94,2021-10-01,1,0,62882
43656,8097,0891,,0,0808,25894,4.0,5262.0,0.0,,1,31,94,2021-12-15,0,0,63555
43657,8097,0891,,0,0808,25893,2.0,14790.0,0.0,LENGTH= 1240MM,1,31,94,2021-12-15,0,0,63556
43658,8098,0859,,0,0774,25784,21.5,800.0,0.0,"12/12/2021- hrs 7.15
13/12/2021- hrs 8
14/12/2021- hrs 6.15",1,31,94,2021-12-14,1,1,63451
43659,8098,0859,,0,0774,25785,1.0,1500.0,0.0,,1,31,94,2021-12-12,0,1,63452
43660,8099,0891,,0,0808,25894,4.0,5262.0,0.0,,1,31,94,2021-12-15,0,0,63555
43661,8099,0891,,0,0808,25893,2.0,14790.0,5.0,LENGTH= 1240MM,1,31,94,2021-12-15,1,0,63556
43662,8100,0895,,0,0800,25880,500.0,10.0,0.0,,1,31,94,2021-12-15,0,1,63563
43663,8101,0897,0220,43253,,0,7.0,1483.0,0.0,,1,31,94,2021-12-17,0,2,63566
43664,8102,0191,0031,42591,,0,300.0,5000.0,0.0,,1,31,94,2021-06-30,0,1,61218
43665,8102,0191,0032,42592,,0,200.0,7000.0,0.0,,1,31,94,2021-06-30,0,1,61219
43666,8103,0850,,0,0765,25756,23.0,490.0,15.0,,1,1,1,2021-12-08,1,0,63420
43667,8103,0850,,0,0765,25757,12.0,440.0,15.0,,1,1,1,2021-12-08,1,0,63421
43668,8104,0896,,0,0811,25901,1.0,170.0,0.0,,1,31,94,2021-12-17,0,1,63564
43669,8104,0896,,0,0811,25902,1.0,221.0,0.0,,1,31,94,2021-12-15,0,1,63565
43670,8105,0896,,0,0811,25901,1.0,170.0,0.0,,1,31,94,2021-12-17,0,1,63564
43671,8105,0896,,0,0811,25902,1.0,300.0,0.0,,1,31,94,2021-12-15,1,1,63565
43672,8106,0847,,0,0762,25752,100.0,177.12,0.0,"Size : 815 x 540
nos : 100
SQ. MTR.: 0.815*0.540 = 0.44
RATE = 0.44 * 400 = 177",1,31,94,2021-12-09,2,1,63416
43673,8107,0916,,0,0829,25953,10.0,135.0,0.0,,1,31,94,2021-12-20,0,0,63618
43674,8107,0916,,0,0829,25952,50.0,4.77,0.0,,1,31,94,2021-12-20,0,2,63619
43675,8107,0916,,0,0829,25951,50.0,6.21,55.0,,1,31,94,2021-12-20,0,2,63620
43676,8107,0916,,0,0829,25950,100.0,13.0,0.0,,1,31,94,2021-12-20,0,0,63621
43677,8107,0916,,0,0829,25949,50.0,30.0,0.0,,1,31,94,2021-12-20,0,0,63622
43678,8107,0916,,0,0829,25948,40.0,28.0,0.0,,1,31,94,2021-12-20,0,0,63623
43679,8107,0916,,0,0829,25947,3.0,48.0,0.0,,1,31,94,2021-12-20,0,2,63624
43680,8108,0135,,0,0127,23766,2.0,70000.0,0.0,,1,37,129,2021-06-18,0,0,60967
43681,8109,0926,,0,0821,25930,235.8,50.05,0.0,,1,31,94,2021-12-20,0,1,63646
43682,8109,0926,,0,0821,25931,195.0,54.5,0.0,,1,31,94,2021-12-20,0,1,63647
43683,8110,0926,,0,0821,25930,224.4,54.5,0.0,200 mtr,1,31,94,2021-12-20,1,1,63646
43684,8110,0926,,0,0821,25931,195.0,54.5,0.0,,1,31,94,2021-12-20,0,1,63647
43685,8111,0926,,0,0821,25930,224.4,54.8,0.0,200 mtr,1,31,94,2021-12-20,2,1,63646
43686,8111,0926,,0,0821,25931,195.0,54.8,0.0,,1,31,94,2021-12-20,2,1,63647
43687,8112,0892,,0,0809,25895,64.0,7.71,0.0,,1,31,94,2021-12-15,0,2,63557
43688,8112,0892,,0,0809,25896,16.0,15.4,0.0,,1,31,94,2021-12-15,0,2,63558
43689,8112,0892,,0,0809,25897,50.0,95.0,0.0,,1,31,94,2021-12-15,0,2,63559
43690,8112,0892,,0,0809,25898,100.0,0.45,0.0,,1,31,94,2021-12-15,0,2,63560
43691,8113,0931,,0,0842,25990,200.0,78.0,0.0,20X44X20X980MM,1,31,94,2021-12-24,0,1,63665
43692,8113,0931,,0,0842,25989,500.0,22.0,0.0,20X44X20X285MM,1,31,94,2021-12-24,0,1,63666
43693,8113,0931,,0,0842,25988,500.0,38.0,0.0,20X44X20X485MM,1,31,94,2021-12-24,0,1,63667
43694,8113,0931,,0,0842,25987,250.0,70.0,0.0,20X44X20X882,1,31,94,2021-12-24,0,1,63668
43695,8114,0935,,0,0847,26010,4.0,64.0,0.0,,1,31,94,2021-12-26,0,1,63681
43696,8114,0935,,0,0847,26009,4.0,52.0,0.0,,1,31,94,2021-12-26,0,1,63682
43697,8114,0935,,0,0847,26008,4.0,52.0,0.0,,1,31,94,2021-12-26,0,1,63683
43698,8114,0935,,0,0847,26007,4.0,69.0,0.0,,1,31,94,2021-12-26,0,1,63684
43699,8115,0934,,0,0845,26002,400.0,150.0,0.0,,1,31,94,2022-01-11,0,2,63680
43700,8116,0830,,0,0752,25729,450.0,105.0,0.0,,1,31,94,2021-12-04,2,0,63370
43701,8116,0830,,0,0752,25730,8.0,283.0,0.0,,1,31,94,2021-12-04,2,0,63371
43702,8117,0939,0229,43269,,0,1.0,458.0,0.0,,1,31,94,2021-12-28,0,2,63692
43703,8117,0939,0229,43270,,0,1.0,57.0,0.0,,1,31,94,2021-12-28,0,1,63693
43704,8117,0939,0229,43271,,0,2.0,94.0,0.0,,1,31,94,2021-12-28,0,1,63694
43705,8131,0950,,0,0859,26034,1.0,975.0,7.5,,1,31,94,2022-01-01,0,4,63714
43706,8132,0952,,0,0862,26041,44.0,600.0,0.0,"HILSON MECH
4-4 NOS
7-12 NOS
8-16 NOS
9-8 NOS
10-4 NOS",1,31,94,2022-01-01,0,0,63717
43707,8133,0955,,0,0865,26044,250.0,2.57,0.0,,1,31,94,2022-01-01,0,2,63723
43708,8133,0955,,0,0865,26045,500.0,1.4,0.0,,1,31,94,2022-01-01,0,2,63724
43709,8133,0955,,0,0865,26046,500.0,4.98,0.0,,1,31,94,2022-01-01,0,2,63725
43710,8133,0955,,0,0865,26047,1200.0,9.44,0.0,,1,31,94,2022-01-01,0,2,63726
43711,8133,0955,,0,0865,26048,500.0,7.07,0.0,,1,31,94,2022-01-01,0,2,63727
43712,8134,0951,,0,0860,26035,64.0,250.0,0.0,,1,31,94,2022-01-01,0,0,63715
43713,8134,0951,,0,0860,26036,150.0,100.0,0.0,,1,31,94,2022-01-01,0,0,63716
43714,8135,0953,,0,0864,26043,48.0,283.0,0.0,,1,31,94,2022-01-01,0,0,63718
43715,8147,0947,0230,43272,,0,12000.0,0.3,0.0,,1,31,94,2022-01-01,0,1,63709
43716,8148,0953,,0,0864,26043,48.0,283.0,0.0,,1,31,94,2022-01-01,0,0,63718
43717,8149,0967,,0,0874,26067,120.0,56.0,0.0,100 MTR,1,31,94,2022-01-03,0,2,63813
43718,8149,0967,,0,0874,26066,120.0,54.0,0.0,30 MTR,1,31,94,2022-01-03,0,2,63814
43719,8149,0967,,0,0874,26065,602.88,54.0,0.0,192 MTR,1,31,94,2022-01-03,0,2,63815
43720,8149,0967,,0,0874,26064,620.0,54.0,0.0,200 MTR,1,31,94,2022-01-03,0,2,63816
43721,8150,0967,,0,0874,26067,155.0,56.0,0.0,100 MTR,1,31,94,2022-01-03,1,2,63813
43722,8150,0967,,0,0874,26066,145.0,54.0,0.0,30 MTR,1,31,94,2022-01-03,1,2,63814
43723,8150,0967,,0,0874,26065,780.0,54.0,0.0,192 MTR,1,31,94,2022-01-03,1,2,63815
43724,8150,0967,,0,0874,26064,620.0,54.0,0.0,200 MTR,1,31,94,2022-01-03,0,2,63816
43725,8151,0967,,0,0874,26067,155.0,56.0,0.0,100 MTR,1,31,94,2022-01-03,1,2,63813
43726,8151,0967,,0,0874,26066,145.0,54.0,0.0,30 MTR,1,31,94,2022-01-03,1,2,63814
43727,8151,0967,,0,0874,26065,780.0,54.0,0.0,192 MTR,1,31,94,2022-01-03,1,2,63815
43728,8151,0967,,0,0874,26064,620.0,54.0,0.0,200 MTR,1,31,94,2022-01-03,0,2,63816
43729,8152,0907,0221,43255,,0,30.0,1088.0,0.0,"Only Base fabrication 
wt 68 kg x 16 rs",1,31,94,2021-12-18,0,1,63587
43730,8152,0907,0225,43260,,0,82.0,1500.0,0.0,"41 lh + 41 rh
modification assembly",1,31,94,2021-12-18,0,1,63588
43731,8152,0907,0224,43259,,0,9.0,1952.0,0.0,"without mesh fabrication
122 kg x 16 rs/kg",1,31,94,2021-12-18,0,2,63589
43732,8152,0907,0224,43258,,0,31.0,2048.0,0.0,base fabrication 128x 16 with mesh & leg,1,31,94,2021-12-18,0,2,63590
43733,8152,0907,0222,43256,,0,23.0,4900.0,0.0,"fabrication 
250 kg x 16 rs/kg
400 paint charges
500 assembly charges",1,31,94,2021-12-18,0,1,63591
43734,8153,0191,0031,42591,,0,68.0,5000.0,0.0,,1,31,94,2021-06-30,1,1,61218
43735,8153,0191,0032,42592,,0,100.0,2048.0,0.0,only base fabrication with leg and mesh,1,31,94,2021-06-30,1,1,61219
43736,8154,0907,0221,43255,,0,30.0,1088.0,0.0,"Tail Gate 
Only Base fabrication 
wt 68 kg x 16 rs",1,31,94,2021-12-18,1,1,63587
43737,8154,0907,0225,43260,,0,82.0,3000.0,0.0,"41 lh + 41 rh
modification assembly",1,31,94,2021-12-18,1,1,63588
43738,8154,0907,0224,43259,,0,9.0,1952.0,0.0,"without mesh fabrication
122 kg x 16 rs/kg",1,31,94,2021-12-18,1,2,63589
43739,8154,0907,0224,43258,,0,31.0,2048.0,0.0,base fabrication 128x 16 with mesh & leg,1,31,94,2021-12-18,1,2,63590
43740,8154,0907,0222,43256,,0,23.0,7000.0,0.0,"fabrication 
total 5000+2000",1,31,94,2021-12-18,1,1,63591
43741,8155,0970,0231,43273,,0,18.0,7000.0,0.0,,1,31,94,2022-01-03,0,1,63844
43742,8156,0191,0031,42591,,0,68.0,8000.0,0.0,Total 6000 +2000,1,31,94,2021-06-30,2,1,61218
43743,8156,0191,0032,42592,,0,142.0,2048.0,0.0,"only base fabrication with leg and mesh
128.5x16",1,31,94,2021-06-30,2,1,61219
43744,8157,0865,,0,0781,25812,2.0,55.0,0.0,,1,31,94,2021-12-13,0,0,63477
