Id,InvoiceNo,ItemId,ReqQty,Qty,AmtInPer,Rate,MId,Unit
4694,0029,3215,12000.0,50000.0,100.0,68.0,1747,1
4695,0030,3202,1.0,1.0,100.0,391675.0,1748,1
4696,0031,3178,1.0,1.0,100.0,337793.0,1749,1
4697,0031,3179,1.0,1.0,100.0,831800.0,1749,1
4698,0031,3181,1.0,1.0,100.0,288856.0,1749,1
4699,0031,3182,1.0,1.0,100.0,310541.0,1749,1
4700,0031,3183,1.0,1.0,100.0,649239.0,1749,1
4701,0031,3184,1.0,1.0,100.0,631771.0,1749,1
4702,0032,3215,12410.0,50000.0,100.0,68.0,1750,1
4703,0033,2609,2.0,25.0,100.0,43399.5,1751,16
4704,0034,3241,1.0,1.0,100.0,1020352.0,1752,1
4705,0035,3223,1.0,1.0,100.0,322160.0,1753,1
4706,0035,3227,1.0,1.0,100.0,88864.0,1753,1
4707,0035,3228,1.0,1.0,100.0,11384.0,1753,1
4708,0035,3231,2.0,2.0,100.0,500336.0,1753,1
4709,0035,3233,1.0,1.0,100.0,230400.0,1753,1
4710,0035,3234,2.0,2.0,100.0,46112.0,1753,1
4711,0035,3245,1.0,1.0,100.0,387760.0,1753,1
4722,0036,3247,4.0,10.0,100.0,14000.0,1759,1
4724,0037,3247,6.0,10.0,100.0,14000.0,1760,1
4725,0037,3248,1.0,1.0,100.0,10000.0,1760,1
4726,0038,3250,6315.0,6315.0,100.0,68.0,1761,2
4727,0038,3251,2170.0,2170.0,100.0,68.0,1761,2
4728,0039,3254,2.0,2.0,100.0,120000.0,1762,1
4729,0039,3255,2.0,2.0,100.0,120000.0,1762,1
4730,0040,3259,2.0,2.0,100.0,120000.0,1763,1
4731,0040,3260,2.0,2.0,100.0,120000.0,1763,1
4732,0041,2774,2.0,2.0,100.0,365000.0,1764,1
4734,0042,3263,818.0,818.0,100.0,68.0,1766,2
4735,0042,3264,400.0,400.0,100.0,68.0,1766,2
4736,0042,3265,129.0,129.0,100.0,68.0,1766,2
4737,0042,3266,107.0,107.0,100.0,68.0,1766,2
4738,0043,3281,7775.0,7775.0,100.0,68.0,1767,2
4739,0044,3282,5645.0,5645.0,100.0,68.0,1768,1
4740,0045,3210,1.0,1.0,100.0,289000.0,1769,1
4741,0045,3211,1.0,1.0,100.0,497500.0,1769,1
4742,0045,3238,1.0,1.0,100.0,1102000.0,1769,1
4743,0045,3239,1.0,1.0,100.0,497500.0,1769,1
4744,0045,3240,1.0,1.0,100.0,289000.0,1769,1
4745,0046,3288,72.0,72.0,100.0,2560.0,1770,3
4746,0047,3289,1689.0,20000.0,100.0,68.0,1771,2
4747,0048,3215,2231.0,50000.0,100.0,68.0,1772,1
4748,0049,3291,4.0,4.0,100.0,11829.0,1773,1
4749,0049,3292,1.0,1.0,100.0,19500.0,1773,1
4750,0049,3293,1.0,1.0,100.0,8000.0,1773,1
4751,0050,3252,1.0,1.0,100.0,1728000.0,1774,1
4752,0050,3253,2.0,2.0,100.0,96000.0,1774,1
4754,0051,3257,1.0,1.0,100.0,1728000.0,1775,1
4755,0051,3258,2.0,2.0,100.0,96000.0,1775,1
4757,0052,3246,22.0,22.0,100.0,110000.0,1776,1
4758,0053,3289,6675.0,20000.0,100.0,68.0,1777,1
4760,0054,3207,1.0,1.0,100.0,225000.0,1779,1
4761,0055,3289,283.0,20000.0,100.0,68.0,1780,2
4763,0056,3289,3220.0,20000.0,100.0,68.0,1782,2
4764,0057,3294,414.0,414.0,100.0,80.0,1783,1
4765,0057,3295,858.0,858.0,100.0,80.0,1783,1
4766,0058,3249,1.0,1.0,100.0,104000.0,1784,9
4767,0058,3296,1.0,1.0,100.0,116000.0,1784,9
4770,0060,3289,1605.0,20000.0,100.0,68.0,1786,2
4771,0061,3275,4.0,4.0,100.0,38812.5,1787,1
4772,0061,3276,2.0,2.0,100.0,17077.5,1787,1
4773,0061,3277,1.0,1.0,100.0,112500.0,1787,1
4774,0061,3278,1.0,1.0,100.0,1707.75,1787,1
