id,ItemCode,N
22951,7081 002 00 0 0 003 0 0,Q140-028-000
22952,7059 001 00 1 0 001 0 0,Q150-001-015
22953,7059 001 00 1 0 002 0 0,Q150-002-015
22954,7059 001 00 1 0 003 0 0,Q150-003-015
22955,7059 001 00 1 0 004 0 0,Q150-004-015
22956,7059 001 00 1 0 005 0 0,Q150-005-015
22957,7059 001 00 1 0 006 0 0,Q150-006-015
22958,7059 001 00 1 0 007 0 0,Q150-007-015
22959,7059 001 00 3 0 001 0 0,Q150-008-015
22960,7059 001 00 3 0 002 0 0,Q150-009-015
22961,7059 001 00 3 0 003 0 0,Q150-010-015
22962,7059 001 00 3 0 004 0 0,Q150-011-015
22963,7059 001 00 3 0 005 0 0,Q150-012-015
22964,7059 001 00 3 0 006 0 0,Q150-013-015
22965,7059 001 00 3 0 007 0 0,Q150-014-015
22966,7059 001 00 3 0 500 0 0,Q150-015-015
22967,7059 001 00 3 0 700 0 0,Q150-016-015
22968,7059 001 00 3 0 705 0 0,Q150-017-015
22969,7059 001 00 3 0 705 1 0,Q150-018-015
22970,7059 001 00 3 0 755 0 0,Q150-019-015
22971,7059 001 00 3 0 755 0 1,Q150-019-115
22972,7059 001 00 3 0 755 0 2,Q150-019-215
22973,7059 001 00 3 0 755 0 3,Q150-019-315
22974,7059 001 01 0 0 000 0 0,Q150-020-015
22975,7059 001 01 0 0 001 0 0,Q150-020-115
22976,7059 001 01 0 0 002 0 0,Q150-020-215
22977,7059 002 00 1 0 001 0 0,Q150-001-016
22978,7059 002 00 1 0 002 0 0,Q150-002-016
22979,7059 002 00 1 0 003 0 0,Q150-003-016
22980,7059 002 00 1 0 004 0 0,Q150-004-016
22981,7059 002 00 1 0 005 0 0,Q150-005-016
22982,7059 002 00 1 0 006 0 0,Q150-006-016
22983,7059 002 00 1 0 007 0 0,Q150-007-016
22984,7059 002 00 2 0 002 0 0,Q150-008-016
22985,7059 002 00 3 0 001 0 0,Q150-009-016
22986,7059 002 00 3 0 002 0 0,Q150-010-016
22987,7059 002 00 3 0 003 0 0,Q150-011-016
22988,7059 002 00 3 0 004 0 0,Q150-012-016
22989,7059 002 00 3 0 005 0 0,Q150-013-016
22990,7059 002 00 3 0 006 0 0,Q150-014-016
22991,7059 002 00 3 0 007 0 0,Q150-015-016
22992, 7059 002 001 0 004 0 0,Q150-016-016
22993, 7059 002 001 0 005 0 0,Q150-017-016
22994, 7059 002 001 0 006 0 0,Q150-018-016
22995, 7059 002 001 0 007 0 0,Q150-019-016
22996, 7059 002 003 0 001 0 0,Q150-001-000
22997, 7059 002 003 0 002 0 0,Q150-002-000
22998, 7059 002 003 0 003 0 0,Q150-003-000
22999, 7059 002 003 0 004 0 0,Q150-004-000
23000,7059 003 00 1 0 001 0 0,Q150-001-017
23001,7059 003 00 1 0 002 0 0,Q150-002-017
23002,7059 003 00 1 0 003 0 0,Q150-003-017
23003,7059 003 00 1 0 004 0 0,Q150-004-017
23004,7059 003 00 1 0 005 0 0,Q150-005-017
23005,7059 003 00 1 0 006 0 0,Q150-006-017
23006,7059 003 00 1 0 007 0 0,Q150-007-017
23007,7059 003 00 3 0 001 0 0,Q150-008-017
23008,7059 003 00 3 0 002 0 0,Q150-009-017
23009,7059 003 00 3 0 003 0 0,Q150-010-017
23010,7059 003 00 3 0 004 0 0,Q150-011-017
23011,7059 003 00 3 0 005 0 0,Q150-012-017
23012,7059 003 00 3 0 006 0 0,Q150-013-017
23013,7059 003 00 3 0 007 0 0,Q150-014-017
23014,7059 003 00 3 0 505 0 0,Q150-015-017
23015,7059 004 00 1 0 001 0 0,Q150-001-018
23016,7059 004 00 1 0 002 0 0,Q150-002-018
23017,7059 004 00 1 0 003 0 0,Q150-003-018
23018,7059 004 00 1 0 004 0 0,Q150-004-018
23019,7059 004 00 1 0 005 0 0,Q150-005-018
23020,7059 004 00 1 0 006 0 0,Q150-006-018
23021,7059 004 00 1 0 007 0 0,Q150-007-018
23022,7059 004 00 3 0 001 0 0,Q150-008-018
23023,7059 004 00 3 0 001 5 0,Q150-009-018
23024,7059 004 00 3 0 002 0 0,Q150-010-018
23025,7059 004 00 3 0 003 0 0,Q150-011-018
23026,7059 004 00 3 0 004 0 0,Q150-012-018
23027,7059 004 00 3 0 005 0 0,Q150-013-018
23028,7059 004 00 3 0 006 0 0,Q150-014-018
23029,7059 004 00 3 0 007 0 0,Q150-015-018
23030,7059 005 00 3 0 020 0 0,Q150-001-019
23031,7059 005 00 3 0 075 0 0,Q150-002-019
23032,7059 005 01 3 0 075 0 0,Q150-003-019
23033,7059 005 01 3 3 370 0 0,Q150-004-019
23034,7059 005 02 3 0 003 0 0,Q150-005-019
23035,7059 005 02 3 0 150 0 0,Q150-006-019
23036,7059 005 02 3 0 220 0 0,Q150-007-019
23037,7059 005 02 3 0 300 0 0,Q150-008-019
23038,7059 005 02 3 0 550 0 0,Q150-009-019
23039,7059 005 02 3 0 750 0 0,Q150-010-019
23040,7059 005 02 3 1 100 0 0,Q150-011-019
23041,7059 005 03 3 0 001 0 0,Q150-012-019
23042,7059 005 03 3 0 002 0 0,Q150-013-019
23043,7059 005 04 0 0 001 0 0,Q150-021-015
23044,7059 005 04 0 0 001 1 0,Q150-022-015
23045,7059 005 04 0 0 002 0 0,Q150-023-015
23046,7059 006 00 0 3 000 0 0,Q150-005-000
23047,7059 007 00 3 0 001 0 0,Q150-001-020
23048,7059 008 00 0 0 001 0 0,Q150-006-000
23049,7059 008 00 0 0 001 0 1,Q150-006-100
23050,7059 008 00 0 0 001 0 2,Q150-006-200
23051,7083 000 00 0 0 001 0 0,Q160-001-000
23052,7083 000 00 0 0 001 1 0,Q160-002-000
23053,7083 000 00 0 0 002 0 0,Q160-003-000
23054,7083 000 00 0 0 003 0 0,Q160-004-000
23055,7083 000 00 0 0 003 1 0,Q160-005-000
23056,7083 000 00 0 0 003 2 0,Q160-006-000
23057,7083 000 00 0 0 003 3 0,Q160-007-000
23058,7083 000 00 0 0 004 0 0,Q160-008-000
23059,7083 000 00 0 0 005 0 0,Q160-009-000
23060,7083 000 00 0 0 007 0 0,Q160-010-000
23061,7083 000 00 0 0 008 0 0,Q160-011-000
23062,7083 000 00 0 0 009 0 0,Q160-012-000
23063,7083 000 00 0 0 010 0 0,Q160-013-000
23064,7083 000 00 0 0 011 0 0,Q160-014-000
23065,7083 000 00 0 0 012 0 0,Q160-015-000
23066,7083 000 00 0 0 013 0 0,Q160-016-000
23067,7083 000 00 0 0 014 0 0,Q160-017-000
23068,7083 000 00 0 0 015 0 0,Q160-018-000
23069,7083 000 00 0 0 016 0 0,Q160-019-000
23070,7083 000 00 0 0 017 0 0,Q160-020-000
23071,7083 000 00 0 0 018 0 0,Q160-021-000
23072,7083 000 00 0 0 019 0 0,Q160-022-000
23073,7083 000 00 0 0 020 0 0,Q160-023-000
23074,7083 000 00 0 0 021 0 0,Q160-024-000
23075,7083 000 00 0 0 022 0 0,Q160-025-000
23076,7083 000 00 0 0 023 0 0,Q160-026-000
23077,7083 000 00 0 0 024 0 0,Q160-027-000
23078,7083 000 00 0 0 025 0 0,Q160-028-000
23079,7083 000 00 0 0 026 0 0,Q160-029-000
23080,7083 000 00 0 0 026 0 1,Q160-030-000
23081,7083 000 00 0 0 027 0 0,Q160-031-000
23082,7083 000 00 0 0 050 0 0,Q160-032-000
23083,7083 000 00 0 0 250 0 0,Q160-033-000
23084,7083 000 00 0 1 050 0 0,Q160-034-000
23085,7083 001 00 0 0 001 0 0,Q160-035-000
23086,7083 001 00 0 0 013 0 0,Q160-036-000
23087,7083 001 00 0 0 024 0 0,Q160-037-000
23088,7083 001 00 0 0 025 0 0,Q160-038-000
23089,7083 001 00 0 1 001 0 0,Q160-039-000
23090,7083 001 00 0 1 002 0 0,Q160-040-000
23091,7083 001 00 0 1 003 0 0,Q160-041-000
23092,7083 001 00 0 1 004 0 0,Q160-042-000
23093,7083 001 00 0 1 005 0 0,Q160-043-000
23094,7083 001 00 0 1 006 0 0,Q160-044-000
23095,7083 001 00 0 1 007 0 0,Q160-045-000
23096,7083 001 00 0 1 008 0 0,Q160-046-000
23097,7083 001 00 0 1 009 0 0,Q160-047-000
23098,7083 001 00 0 1 010 0 0,Q160-048-000
23099,7083 001 00 0 1 040 0 0,Q160-049-000
23100,6604 004 00 0 0 009 1 0,Q160-049-001
23101,6604 004 00 0 0 009 2 0,Q160-049-002
23102,6604 004 00 0 0 009 3 0,Q160-049-003
23103,6604 085 00 0 0 100 2 0,Q160-049-004
23104,6604 085 00 0 0 100 3 0,Q160-049-005
23105,6604 100 00 0 0 120 2 0,Q160-049-006
23106,7083 001 00 0 2 001 0 0,Q160-050-000
23107,7083 001 00 0 3 001 0 0,Q160-051-000
23108,7083 001 00 0 4 001 0 0,Q160-052-000
23109,7083 001 00 0 5 001 0 0,Q160-053-000
23110,7083 001 01 0 0 002 0 0,Q160-054-000
23111,7083 001 02 0 0 001 2 0,Q160-055-000
23112,7083 001 02 0 0 002 2 0,Q160-056-000
23113,7083 001 02 0 0 003 2 0,Q160-057-000
23114,7083 001 02 0 0 004 2 0,Q160-058-000
23115,7083 001 02 0 0 005 2 0,Q160-059-000
23116,7083 001 02 0 0 006 2 0,Q160-060-000
23117,7083 001 02 0 0 007 2 0,Q160-061-000
23118,7083 002 00 0 0 000 0 0,Q160-062-000
23119,7083 002 00 0 0 001 0 0,Q160-063-000
23120,7083 003 00 0 0 050 0 0,Q160-064-000
23121,7083 003 00 0 0 100 0 0,Q160-065-000
23122,7087 001 00 0 1 001 0 0,Q170-001-000
23123,7087 001 00 0 1 002 0 0,Q170-002-000
23124,7087 001 00 0 1 003 0 0,Q170-003-000
23125,7087 001 00 0 1 004 0 0,Q170-004-000
23126,7087 001 00 0 1 005 0 0,Q170-005-000
23127,7087 001 00 0 1 006 0 0,Q170-006-000
23128,7087 001 00 0 1 007 0 0,Q170-007-000
23129,7087 001 00 0 1 008 0 0,Q170-008-000
23130,7087 001 00 0 1 009 0 0,Q170-009-000
23131,7087 001 00 0 1 010 0 0,Q170-010-000
23132,7087 001 00 0 1 011 0 0,Q170-011-000
23133,7087 002 00 0 0 000 0 0,Q170-012-000
23134,7088 000 00 0 1 001 0 0,Q180-001-000
23135,7088 000 00 0 1 002 0 0,Q180-002-000
23136,7088 000 00 0 2 001 0 0,Q180-003-000
23137,7090 001 00 0 0 001 0 0,Q190-001-000
23138,7090 001 01 0 0 001 0 0,Q190-001-100
23139,7090 001 02 0 0 001 0 0,Q190-001-200
23140,7091 001 01 0 0 001 0 0,Q200-001-000
23141,7091 001 01 0 0 002 0 0,Q200-002-000
23142,7091 001 01 0 0 003 0 0,Q200-003-000
23143,7091 001 02 0 0 001 0 0,Q200-004-000
23144,7091 001 03 0 0 001 0 0,Q200-005-000
23145,7091 001 03 0 0 002 0 0,Q200-006-000
23146,7091 001 03 0 0 003 0 0,Q200-007-000
23147,7091 001 03 0 0 004 0 0,Q200-008-000
23148,7091 001 03 0 0 005 0 0,Q200-009-000
23149,7092 001 00 0 0 001 0 0,Q210-001-000
23150,7092 001 00 0 0 002 0 0,Q210-002-000
23151,7092 001 00 0 0 003 0 0,Q210-003-000
23152,7092 001 00 0 0 004 0 0,Q210-004-000
23153,7092 001 00 0 0 005 0 0,Q210-005-000
23154,7092 001 00 0 0 006 0 0,Q210-006-000
23155,7092 001 01 0 0 001 0 0,Q210-007-000
23156,7092 001 01 0 0 002 0 0,Q210-008-000
23157,7092 002 00 0 0 001 0 0,Q210-009-000
23158,7092 002 00 0 0 002 0 0,Q210-010-000
23159,7092 002 00 0 0 003 0 0,Q210-011-000
23160,7092 002 00 0 0 004 0 0,Q210-012-000
23161,7092 002 00 0 0 005 0 0,Q210-013-000
23162,7092 002 01 0 0 001 0 0,Q210-014-000
23163,7092 003 00 0 0 000 0 0,Q210-015-000
23164,7092 003 01 0 0 000 0 0,Q210-016-000
23165,7092 003 02 0 0 000 0 0,Q210-017-000
23166,7092 003 03 0 0 000 0 0,Q210-018-000
23167,7092 004 00 0 0 001 0 0,Q210-019-000
23168,7092 004 00 0 0 002 0 0,Q210-020-000
23169,7092 005 01 0 0 000 0 0,Q210-021-000
23170,7093 001 00 0 0 001 0 0,Q220-001-000
23171,7093 001 00 0 0 002 0 0,Q220-002-000
23172,7093 002 00 0 0 002 0 0,Q220-003-000
23173,7094 001 00 0 0 001 0 0,Q230-001-000
23174,7094 001 00 0 0 002 0 0,Q230-002-000
23175,7094 001 00 0 0 003 0 0,Q230-003-000
23176,7094 001 00 0 0 004 0 0,Q230-004-000
23177,7094 001 00 0 0 005 0 0,Q230-005-000
23178,7094 001 00 0 0 006 0 0,Q230-006-000
23179,7094 001 00 0 0 007 0 0,Q230-007-000
23180,7094 001 00 0 0 008 0 0,Q230-008-000
23181,7094 001 00 0 0 009 0 0,Q230-009-000
23182,7094 001 00 0 0 010 0 0,Q230-010-000
23183,7094 001 00 0 0 011 0 0,Q230-011-000
23184,7094 001 00 0 0 012 0 0,Q230-012-000
23185,7094 001 00 0 0 013 0 0,Q230-013-000
23186,7094 001 00 0 0 014 0 0,Q230-014-000
23187,7094 001 00 0 0 015 0 0,Q230-015-000
23188,7094 001 00 0 0 016 0 0,Q230-016-000
23189,7094 001 00 0 0 017 0 0,Q230-017-000
23190,7094 001 00 0 0 018 0 0,Q230-018-000
23191,7094 001 00 0 0 019 0 0,Q230-019-000
23192,7094 001 00 0 0 020 0 0,Q230-020-000
23193,7094 001 00 0 0 021 0 0,Q230-021-000
23194,7094 001 00 0 0 022 0 0,Q230-022-000
23195,7094 001 00 0 0 023 0 0,Q230-023-000
23196,7094 001 00 0 0 024 0 0,Q230-024-000
23197,7094 001 00 0 0 025 0 0,Q230-025-000
23198,7094 001 00 0 0 026 0 0,Q230-026-000
23199,7094 001 00 0 0 027 0 0,Q230-027-000
23200,7094 001 00 0 0 028 0 0,Q230-028-000
23201,7094 001 00 0 0 029 0 0,Q230-029-000
23202,7094 001 00 0 0 030 0 0,Q230-030-000
23203,7094 001 00 0 0 031 0 0,Q230-031-000
23204,7094 001 00 0 0 032 0 0,Q230-032-000
23205,7094 001 00 0 0 033 0 0,Q230-033-000
23206,7094 001 00 0 0 034 0 0,Q230-034-000
23207,7094 001 00 0 0 035 0 0,Q230-035-000
23208,7094 001 00 0 0 036 0 0,Q230-036-000
23209,7094 001 00 0 0 037 0 0,Q230-037-000
23210,7094 001 00 0 0 038 0 0,Q230-038-000
23211,7094 001 00 0 0 039 0 0,Q230-039-000
23212,7094 001 00 0 0 040 0 0,Q230-040-000
23213,7094 001 00 0 0 041 0 0,Q230-041-000
23214,7094 001 00 0 0 042 0 0,Q230-042-000
23215,7094 001 00 0 0 043 0 0,Q230-043-000
23216,7094 001 00 0 0 044 0 0,Q230-044-000
23217,7094 001 00 0 0 045 0 0,Q230-045-000
23218,7094 001 00 0 0 046 0 0,Q230-046-000
23219,7094 001 00 0 0 047 0 0,Q230-047-000
23220,7094 001 00 0 0 048 0 0,Q230-048-000
23221,7094 001 00 0 0 049 0 0,Q230-049-000
23222,7094 001 00 0 0 050 0 0,Q230-050-000
23223,7094 001 00 0 0 051 0 0,Q230-051-000
23224,7094 001 00 0 0 052 0 0,Q230-052-000
23225,7095 001 00 0 0 001 0 0,Q240-001-000
23226,7095 001 00 0 0 002 0 0,Q240-002-000
23227,7095 001 00 0 0 003 0 0,Q240-003-000
23228,7095 001 00 0 0 004 0 0,Q240-004-000
23229,7095 001 00 0 0 005 0 0,Q240-005-000
23230,7095 002 00 0 0 001 0 0,Q240-006-000
23231,7095 002 00 0 0 002 0 0,Q240-007-000
23232,7095 002 00 0 0 003 0 0,Q240-008-000
23233,7095 002 00 0 0 004 0 0,Q240-009-000
23234,7095 002 00 0 0 005 0 0,Q240-010-000
23235,7074 001 00 0 1 003 0 0,Q250-001-000
23236,7074 001 00 0 1 004 0 0,Q250-002-000
23237,7074 001 00 0 1 006 0 0,Q250-003-000
23238,7074 001 00 0 1 010 0 0,Q250-004-000
23239,7074 001 00 0 1 016 0 0,Q250-005-000
23240,7074 001 00 0 1 020 0 0,Q250-006-000
23241,7074 001 00 0 1 025 0 0,Q250-007-000
23242,7074 001 00 0 1 032 0 0,Q250-008-000
23243,7074 001 00 0 1 040 0 0,Q250-009-000
23244,7074 001 00 0 1 063 0 0,Q250-010-000
23245,7074 001 00 0 3 004 0 0,Q250-011-000
23246,7074 001 00 0 3 006 0 0,Q250-012-000
23247,7074 001 00 0 3 010 0 0,Q250-013-000
23248,7074 001 00 0 3 015 0 0,Q250-014-000
23249,7074 001 00 0 3 016 0 0,Q250-015-000
23250,7074 001 00 0 3 016 1 0,Q250-016-000
23251,7074 001 00 0 3 020 0 0,Q250-017-000
23252,7074 001 00 0 3 025 0 0,Q250-018-000
23253,7074 001 00 0 3 032 0 0,Q250-019-000
23254,7074 001 00 0 3 040 0 0,Q250-020-000
23255,7074 001 00 0 3 063 0 0,Q250-021-000
23256,7074 001 00 0 3 064 0 0,Q250-022-000
23257,7074 002 00 0 1 001 0 0,Q250-001-013
23258,7074 003 00 0 0 000 0 0,Q250-001-015
23259,8060 001 00 0 0 000 0 0,Q260-001-000
23260,8060 001 00 0 0 001 0 0,Q260-001-100
23261,8060 001 00 0 0 002 0 0,Q260-001-200
23262,8060 002 00 0 0 001 0 0,Q260-001-300
23263,7050 001 00 0 7 036 1 0,L012-000-150
23264,7050 001 00 0 7 036 2 0,L016-000-150
23265,7050 001 00 0 7 036 3 0,L017-000-150
23266,7050 001 00 0 7 036 4 0,L015-000-150
23267,7050 001 00 0 7 036 5 0,L014-000-150
23268,7050 001 01 0 0 025 1 1,L014-002-011
23269,7050 001 01 0 0 050 1 1,L014-005-011
23270,7050 001 01 0 0 075 1 1,L014-007-011
23271,7050 001 01 0 0 100 1 1,L014-010-011
23272,7050 001 01 0 0 150 1 1,L014-015-011
23273,7050 001 01 0 0 200 1 1,L014-025-011
23274,7050 001 01 0 0 400 1 1,L014-040-011
23275, 7050 001 01 0 0600 1 1,L014-060-011
23276,7050 001 01 0 1 000 1 1,L014-100-011
23277,7050 001 01 1 0 025 1 1,L018-002-011
23278,7050 001 01 1 0 050 1 1,L018-005-011
23279,7050 001 01 1 0 075 0 0,L018-007-011
23280,7050 001 01 1 0 100 1 1,L018-010-011
23281,7050 001 01 1 0 150 1 1,L018-015-011
23282,7050 001 01 1 0 200 1 1,L018-025-011
23283,7050 001 01 1 0 400 1 1,L018-040-011
23284, 7050 001 01 1 0600 1 1,L018-060-011
23285,7050 001 01 1 1 000 1 1,L018-100-011
23286,7050 001 01 1 4 036 1 0,L012-000-160
23287,7050 001 01 1 4 036 2 0,L011-000-160
23288,7050 001 01 1 4 036 3 0,L016-000-160
23289,7050 001 01 2 0 025 1 1,L011-002-011
23290,7050 001 01 2 0 050 1 1,L011-005-011
23291,7050 001 01 2 0 075 1 1,L011-007-011
23292,7050 001 01 2 0 100 1 1,L011-010-011
23293,7050 001 01 2 0 150 1 1,L011-015-011
23294,7050 001 01 2 0 200 1 1,L011-025-011
23295,7050 001 01 2 0 400 1 1,L011-040-011
23296, 7050 001 01 2 0600 1 1,L011-060-011
23297,7050 001 01 2 1 000 1 1,L011-100-011
23298,7050 001 01 3 0 025 1 1,L017-002-011
23299,7050 001 01 3 0 050 1 1,L017-005-011
23300,7050 001 01 3 0 100 1 1,L017-010-011
23301,7050 001 01 3 0 150 1 1,L017-015-011
23302,7050 001 01 3 0 200 1 1,L017-025-011
23303,7050 001 01 3 0 400 1 1,L017-040-011
23304, 7050 001 01 3 0600 1 1,L017-060-011
23305,7050 001 01 3 1 000 1 1,L017-100-011
23306,7050 001 01 4 0 025 1 1,L013-002-011
23307,7050 001 01 4 0 050 1 1,L013-005-011
23308,7050 001 01 4 0 100 1 1,L013-001-011
23309,7050 001 01 4 0 150 1 1,L013-015-011
23310,7050 001 01 4 0 200 1 1,L013-025-011
23311,7050 001 01 4 0 400 1 1,L013-040-011
23312, 7050 001 01 4 0600 1 1,L013-060-011
23313,7050 001 01 4 1 000 1 1,L013-100-011
23314,7050 001 01 5 0 025 1 1,L010-002-011
23315,7050 001 01 5 0 050 1 1,L010-005-011
23316,7050 001 01 5 0 100 1 1,L010-010-011
23317,7050 001 01 5 0 150 1 1,L010-015-011
23318,7050 001 01 5 0 200 1 1,L010-025-011
23319,7050 001 01 5 0 400 1 1,L010-040-011
23320, 7050 001 01 5 0600 1 1,L010-060-011
23321,7050 001 01 5 1 000 1 1,L010-100-011
23322, 7050 001 016 0 025 1 1,L012-002-011
23323, 7050 001 016 0 050 1 1,L012-005-011
23324, 7050 001 016 0 075 0 0,L012-007-011
23325, 7050 001 016 0 100 1 1,L012-010-011
23326, 7050 001 016 0 150 1 1,L012-015-011
23327, 7050 001 016 0 200 1 1,L012-025-011
23328, 7050 001 016 0 400 1 1,L012-004-011
23329,7050 001 01 6 0 600 1 1,L012-060-011
23330, 7050 001 016 1 000 1 1,L012-100-011
23331,7050 001 01 7 0 025 1 1,L016-002-011
23332,7050 001 01 7 0 050 1 1,L016-005-011
23333,7050 001 01 7 0 100 1 1,L016-010-011
23334,7050 001 01 7 0 150 1 1,L016-015-011
23335,7050 001 01 7 0 200 1 1,L016-025-011
23336,7050 001 01 7 0 400 1 1,L016-040-011
23337, 7050 001 01 7 0600 1 1,L016-060-011
23338,7050 001 01 7 1 000 1 1,L016-100-011
23339,7050 001 01 8 0 025 1 1,L015-002-011
23340,7050 001 01 8 0 050 1 1,L015-005-011
23341,7050 001 01 8 0 100 1 1,L015-010-011
23342,7050 001 01 8 0 150 1 1,L015-015-011
23343,7050 001 01 8 0 200 1 1,L015-025-011
23344,7050 001 01 8 0 400 1 1,L015-040-011
23345, 7050 001 01 8 0600 1 1,L015-060-011
23346,7050 001 01 8 1 000 1 1,L015-100-011
23347,7050 001 01 9 0 100 1 1,L019-010-011
23348,7050 001 01 9 0 150 1 1,L019-015-011
23349,7050 001 01 9 0 200 1 1,L019-025-011
23350,7050 001 01 9 0 400 1 1,L019-040-011
23351, 7050 001 01 9 0600 1 1,L019-060-011
23352,7050 001 01 9 1 000 1 1,L019-100-011
23353,7050 001 02 0 0 014 1 2,L020-001-011
23354,7050 001 02 0 0 014 2 2,L020-001-021
23355,7050 001 02 0 0 025 1 2,L020-002-011
23356,7050 001 02 0 0 025 2 2,L020-002-021
23357,7050 001 02 0 0 050 1 2,L020-005-011
23358,7050 001 02 0 0 050 2 2,L020-005-021
23359,7050 001 02 0 0 100 1 2,L020-010-011
23360,7050 001 02 0 0 100 2 2,L020-010-021
23361,7050 001 02 0 0 150 1 2,L020-015-011
23362,7050 001 02 0 0 150 2 2,L020-015-021
23363,7050 001 02 0 0 250 1 2,L020-025-011
23364,7050 001 02 0 0 250 2 2,L020-025-021
23365,7050 001 02 0 0 400 1 2,L020-040-011
23366,7050 001 02 0 0 400 2 2,L020-040-021
23367, 7050 001 02 0 0600 1 2,L020-060-011
23368, 7050 001 02 0 0600 2 2,L020-060-021
23369,7050 001 03 0 0 014 1 2,L030-001-011
23370,7050 001 03 0 0 014 2 2,L030-001-021
23371,7050 001 03 0 0 025 1 2,L030-002-011
23372,7050 001 03 0 0 025 2 2,L030-002-021
23373,7050 001 03 0 0 050 1 2,L030-005-011
23374,7050 001 03 0 0 050 2 2,L030-005-021
23375,7050 001 03 0 0 100 1 2,L030-010-011
23376,7050 001 03 0 0 100 2 1,L030-010-031
23377,7050 001 03 0 0 100 2 2,L030-010-021
23378,7050 001 03 0 0 150 1 2,L030-015-011
23379,7050 001 03 0 0 150 2 2,L030-015-021
23380,7050 001 03 0 0 250 1 2,L030-025-011
23381,7050 001 03 0 0 250 2 2,L030-025-021
23382,7050 001 03 0 0 400 1 2,L030-040-011
23383,7050 001 03 0 0 400 2 2,L030-040-021
23384, 7050 001 03 0 0600 1 2,L030-060-011
23385, 7050 001 03 0 0600 2 2,L030-060-021
23386,7050 001 04 0 0 014 1 2,L040-001-011
23387,7050 001 04 0 0 014 2 2,L040-001-021
23388,7050 001 04 0 0 025 1 2,L040-002-011
23389,7050 001 04 0 0 025 2 2,L040-002-021
23390,7050 001 04 0 0 050 1 2,L040-005-011
23391,7050 001 04 0 0 050 2 2,L040-005-021
23392,7050 001 04 0 0 100 1 2,L040-010-011
23393,7050 001 04 0 0 100 2 2,L040-010-021
23394,7050 001 04 0 0 150 1 2,L040-015-011
23395,7050 001 04 0 0 150 2 2,L040-015-021
23396,7050 001 04 0 0 250 1 2,L040-025-011
23397,7050 001 04 0 0 250 2 2,L040-025-021
23398,7050 001 04 0 0 400 1 2,L040-040-011
23399,7050 001 04 0 0 400 2 2,L040-040-021
23400, 7050 001 04 0 0600 1 2,L040-060-011
23401, 7050 001 04 0 0600 2 2,L040-060-021
23402,7050 001 05 0 0 014 1 2,L050-001-011
23403,7050 001 05 0 0 025 1 2,L050-002-011
23404,7050 001 05 0 0 050 1 2,L050-005-011
23405,7050 001 05 0 0 075 1 2,L050-007-011
23406,7050 001 05 0 0 100 1 2,L050-010-011
23407,7050 001 05 0 0 150 1 2,L050-015-011
23408,7050 001 05 0 0 150 2 1,L050-015-031
23409,7050 001 05 0 0 250 1 2,L050-025-011
23410,7050 001 05 0 0 400 1 2,L050-040-011
23411, 7050 001 05 0 0600 1 2,L050-060-011
23412,7050 001 06 0 0 014 1 2,L060-001-011
23413,7050 001 06 0 0 014 2 2,L060-001-021
23414,7050 001 06 0 0 025 1 2,L060-002-011
23415,7050 001 06 0 0 025 2 2,L060-002-021
23416,7050 001 06 0 0 050 1 2,L060-005-011
23417,7050 001 06 0 0 050 2 2,L060-005-021
23418,7050 001 06 0 0 100 1 2,L060-010-011
23419,7050 001 06 0 0 100 2 2,L060-010-021
23420,7050 001 06 0 0 150 1 2,L060-015-011
23421,7050 001 06 0 0 150 2 2,L060-015-021
23422,7050 001 06 0 0 250 1 2,L060-025-011
23423,7050 001 06 0 0 250 2 2,L060-025-021
23424,7050 001 06 0 0 400 1 2,L060-040-011
23425,7050 001 06 0 0 400 2 2,L060-040-021
23426, 7050 001 06 0 0600 1 2,L060-060-011
23427, 7050 001 06 0 0600 2 2,L060-060-021
23428,7050 001 07 0 0 014 1 2,L070-001-011
23429,7050 001 07 0 0 025 1 2,L070-002-011
23430,7050 001 07 0 0 050 1 2,L070-005-011
23431,7050 001 07 0 0 100 1 2,L070-010-011
23432,7050 001 07 0 0 150 1 2,L070-015-011
23433,7050 001 07 0 0 150 2 1,L070-015-031
23434,7050 001 07 0 0 250 1 2,L070-025-011
23435,7050 001 07 0 0 400 1 2,L070-040-011
23436, 7050 001 07 0 0600 1 2,L070-060-011
23437,7050 001 08 0 0 014 1 2,L080-001-011
23438,7050 001 08 0 0 014 2 2,L080-001-021
23439,7050 001 08 0 0 025 1 2,L080-002-011
23440,7050 001 08 0 0 025 2 2,L080-002-021
23441,7050 001 08 0 0 050 1 2,L080-005-011
23442,7050 001 08 0 0 050 2 2,L080-005-021
23443,7050 001 08 0 0 100 1 2,L080-010-011
23444,7050 001 08 0 0 100 2 2,L080-010-021
23445,7050 001 08 0 0 150 1 2,L080-015-011
23446,7050 001 08 0 0 150 2 2,L080-015-021
23447,7050 001 08 0 0 250 1 2,L080-025-011
23448,7050 001 08 0 0 250 2 2,L080-025-021
23449,7050 001 08 0 0 400 1 2,L080-040-011
23450,7050 001 08 0 0 400 2 2,L080-040-021
23451, 7050 001 08 0 0600 1 2,L080-060-011
23452, 7050 001 08 0 0600 2 2,L080-060-021
23453,7050 001 10 0 0 014 1 2,L100-001-011
23454,7050 001 10 0 0 014 2 2,L100-001-021
23455,7050 001 10 0 0 025 1 2,L100-002-011
23456,7050 001 10 0 0 025 2 2,L100-002-021
23457,7050 001 10 0 0 050 1 2,L100-005-011
