Id,MId,Perticulars,Qty,Amount,IncludesIn
195,299,Performance Incentive ,1.0,4050.0,3
196,305,Performance Incentive,1.0,2152.0,3
197,303,Performance Incentive,1.0,2100.0,3
198,300,Performance Incentive,1.0,2000.0,3
199,298,Performance Incentive,1.0,1000.0,3
200,324,Performance Incentive,1.0,1200.0,3
201,318,Performance Incentive,1.0,1000.0,3
202,321,Performance Incentive,1.0,1200.0,3
203,323,Performance Incentive,1.0,1550.0,3
204,317,Performance Incentive,1.0,3000.0,3
205,322,Performance Incentive,1.0,1000.0,3
206,313,Performance Incentive,1.0,7000.0,3
207,320,Performance Incentive,1.0,1000.0,3
208,319,Performance Incentive,1.0,1000.0,3
209,330,Performance Incentive,1.0,2500.0,3
210,333,Performance Incentive,1.0,2000.0,3
211,316,Performance Incentive,1.0,1000.0,3
212,315,Performance Incentive,1.0,700.0,3
213,325,Performance Incentive,1.0,1000.0,3
214,331,Performance Incentive,1.0,2800.0,3
215,326,Performance Incentive,1.0,1000.0,3
216,327,Performance Incentive,1.0,3950.0,3
217,339,Performance Incentive,1.0,1000.0,3
220,1,PI,1.0,2000.0,4
221,307,2000,1.0,2000.0,4
222,382,4500,1.0,4500.0,4
223,341,4100,1.0,4100.0,4
224,345,4000,1.0,4000.0,4
225,347,3300,1.0,3300.0,4
226,349,4100,1.0,4100.0,1
227,350,3300,1.0,3300.0,4
228,348,3400,1.0,3400.0,4
229,354,2800,1.0,2800.0,4
230,363,5475,1.0,5475.0,4
233,358,1000,1.0,1000.0,4
234,369,2000,1.0,2000.0,4
236,373,2800,1.0,2800.0,4
237,374,2000,1.0,2000.0,4
238,375,2800,1.0,2800.0,4
239,381,1000,1.0,1000.0,4
240,376,1000,1.0,1000.0,4
241,370,2700,1.0,2700.0,4
242,368,2000,1.0,2000.0,4
243,383,9500,1.0,9500.0,4
244,384,11990,1.0,11990.0,4
245,389,3200,1.0,3200.0,4
246,372,4500,1.0,4500.0,4
247,366,4250,1.0,4250.0,4
248,353,4200,1.0,4200.0,4
250,392,2000,1.0,2000.0,4
251,393,2000,1.0,2000.0,4
252,395,9100,1.0,9100.0,4
253,391,3800,1.0,3800.0,4
254,399,3800,1.0,3800.0,4
255,398,12000,1.0,12000.0,4
256,400,3600,1.0,3600.0,4
257,401,Performance Bonus,1.0,1200.0,4
258,402,Performance Bonus,1.0,1200.0,4
259,349,4100,1.0,4100.0,4
260,230,1000,1.0,1000.0,4
262,396,6500,1.0,6500.0,4
263,397,1500,1.0,1500.0,4
264,207,16100,1.0,16100.0,4
265,9,6000,1.0,6000.0,4
266,404,3000,1.0,3000.0,4
267,405,5000,1.0,5000.0,4
268,406,1000,1.0,1000.0,4
