Id,SysDate,SysTime,CompId,FinYearId,SessionId,Particulars
2,2014-03-31,2:14:23 PM,1,1,Sapl0001,Bank OD A/c
3,2014-03-31,2:14:50 PM,1,1,Sapl0001,Secured Loans
4,2014-03-31,2:15:03 PM,1,1,Sapl0001,Unsecured Loans
