Id,SysDate,SysTime,CompId,FinYearId,SessionId,ItemId,LockUnlock,Type,LockedbyTranaction,LockDate,LockTime
16458,2022-02-13,2:32:55 PM,1,9,sapl0350                                         ,82672,0,2,SAPL0324,2022-02-13,4:58:57 PM
16459,2022-02-13,2:38:20 PM,1,9,sapl0350                                         ,85672,0,2,SAPL0001,2022-03-31,9:41:49 AM
16460,2022-02-13,2:45:40 PM,1,9,sapl0350                                         ,14081,0,2,SAPL0324,2022-02-13,4:58:57 PM
16461,2022-02-13,2:49:38 PM,1,9,SAPL0324,27927,0,2,1144,2023-02-07,11:21:58 AM
16462,2022-02-13,3:14:35 PM,1,9,sapl0350                                         ,79633,0,2,SAPL0324,2022-02-13,4:58:57 PM
16463,2022-02-13,3:14:52 PM,1,9,SAPL0324,27927,0,2,1144,2023-02-07,11:21:58 AM
16464,2022-02-13,3:17:22 PM,1,9,sapl0350                                         ,79634,0,2,SAPL0324,2022-02-13,4:58:57 PM
16465,2022-02-13,3:22:32 PM,1,9,sapl0350                                         ,6573,0,2,Sapl0324,2022-11-03,3:20:15 PM
16466,2022-02-13,3:25:12 PM,1,9,sapl0350                                         ,83271,0,2,Sapl0002,2023-02-10,6:14:21 PM
16467,2022-02-13,3:31:34 PM,1,9,sapl0350                                         ,6435,0,2,Sapl0324,2022-11-18,10:27:41 AM
16468,2022-02-13,3:33:31 PM,1,9,sapl0350                                         ,5683,0,2,1372,2023-02-21,4:00:20 PM
16469,2022-02-13,3:34:36 PM,1,9,SAPL0324,86591,0,2,1148,2023-02-07,3:00:26 PM
16470,2022-02-13,3:36:20 PM,1,9,sapl0350                                         ,86493,0,2,SAPL0324,2022-02-13,4:58:57 PM
16471,2022-02-13,3:38:01 PM,1,9,sapl0350                                         ,70798,0,2,1184,2023-02-09,5:10:31 PM
16472,2022-02-13,3:45:24 PM,1,9,sapl0350                                         ,70798,0,2,1184,2023-02-09,5:10:31 PM
16473,2022-02-13,3:45:32 PM,1,9,sapl0350                                         ,83864,0,2,SAPL0001,2022-03-31,9:41:49 AM
