Id,SysDate,SysTime,CompId,FinYearId,SessionId,DeptId,AccId,Amount,BGId
87,2014-05-10,5:32:37 PM,1,2,Sapl0161,,,30000.0,8
88,2014-05-12,4:17:54 PM,1,2,Sapl0003,,,25000.0,9
89,2014-05-13,9:49:49 AM,1,2,Sapl0161,,,25000.0,13
90,2014-05-16,9:49:27 AM,1,2,Sapl0003,,,50000.0,15
91,2014-05-16,9:49:42 AM,1,2,Sapl0003,,,50000.0,15
92,2014-05-17,10:15:07 AM,1,2,Sapl0003,,,10000.0,2
93,2014-05-19,10:09:55 AM,1,2,Sapl0161,,,75000.0,11
94,2014-05-22,2:18:01 PM,1,2,Sapl0161,,,25000.0,9
95,2014-05-22,2:18:44 PM,1,2,Sapl0161,,,25000.0,9
96,2014-05-23,10:25:57 AM,1,2,sapl0161,,,50000.0,4
97,2014-05-23,11:05:21 AM,1,2,Sapl0161,,,25000.0,3
98,2014-05-23,11:05:38 AM,1,2,Sapl0161,,,50000.0,8
99,2014-05-23,11:05:45 AM,1,2,Sapl0161,,,50000.0,9
100,2014-05-23,11:05:53 AM,1,2,Sapl0161,,,50000.0,11
101,2014-05-23,11:05:59 AM,1,2,Sapl0161,,,50000.0,13
102,2014-05-23,11:06:11 AM,1,2,Sapl0161,,,50000.0,17
103,2014-05-24,5:39:38 PM,1,2,Sapl0003,,,10000.0,3
104,2014-05-24,5:39:38 PM,1,2,Sapl0003,,,10000.0,8
105,2014-05-27,3:28:26 PM,1,2,Sapl0003,,,60000.0,8
106,2014-05-31,6:03:47 PM,1,2,Sapl0161,,,25000.0,8
107,2014-06-04,10:50:11 AM,1,2,sapl0161,,,30000.0,8
108,2014-06-04,10:52:25 AM,1,2,Sapl0161,,,70000.0,8
109,2014-06-09,5:26:38 PM,1,2,Sapl0161,,,25000.0,12
110,2014-06-09,5:26:47 PM,1,2,Sapl0161,,,20000.0,2
111,2014-06-13,10:16:11 AM,1,2,Sapl0161,,,65000.0,15
112,2014-06-26,9:46:37 AM,1,2,sapl0161,,,50000.0,8
113,2014-06-26,9:50:51 AM,1,2,sapl0161,,,50000.0,15
114,2014-06-29,2:21:46 PM,1,2,Sapl0161,,,50000.0,8
115,2014-07-04,10:11:32 AM,1,2,Sapl0161,,,150000.0,5
116,2014-07-04,12:56:17 PM,1,2,Sapl0161,,,50000.0,8
117,2014-07-05,12:44:55 PM,1,2,Sapl0161,,,50000.0,4
118,2014-07-09,5:51:25 PM,1,2,Sapl0161,,,50000.0,8
119,2014-07-11,11:04:05 AM,1,2,Sapl0161,,,30000.0,9
120,2014-07-14,2:40:31 PM,1,2,Sapl0161,,,50000.0,15
121,2014-07-14,2:40:49 PM,1,2,Sapl0161,,,50000.0,2
122,2014-07-14,2:40:58 PM,1,2,Sapl0161,,,30000.0,3
123,2014-07-14,2:41:09 PM,1,2,Sapl0161,,,30000.0,4
124,2014-07-14,2:41:30 PM,1,2,Sapl0161,,,10000.0,5
125,2014-07-14,2:41:38 PM,1,2,Sapl0161,,,30000.0,8
126,2014-07-14,2:41:50 PM,1,2,Sapl0161,,,20000.0,9
127,2014-07-14,2:42:02 PM,1,2,Sapl0161,,,25000.0,10
128,2014-07-14,2:42:13 PM,1,2,Sapl0161,,,30000.0,12
129,2014-07-14,2:52:15 PM,1,2,Sapl0161,,,20000.0,15
130,2014-07-16,4:45:52 PM,1,2,Sapl0161,,,100000.0,15
131,2014-07-25,9:14:00 AM,1,2,Sapl0161,,,1500000.0,15
132,2014-07-25,10:06:12 AM,1,2,Sapl0161,,,3000000.0,8
133,2014-07-28,3:01:41 PM,1,2,Sapl0161,,,50000.0,13
134,2014-08-11,11:09:41 AM,1,2,Sapl0161,,,100000.0,5
135,2014-08-11,11:22:30 AM,1,2,Sapl0161,,,100000.0,15
136,2014-08-11,11:43:30 AM,1,2,Sapl0161,,,20000.0,4
137,2014-08-11,11:46:03 AM,1,2,Sapl0161,,,50000.0,5
138,2014-08-11,11:57:11 AM,1,2,Sapl0161,,,10000.0,4
139,2014-08-12,10:44:03 AM,1,2,sapl0161,,,25000.0,2
140,2014-08-16,12:41:50 PM,1,2,Sapl0161,,,6600.0,4
141,2014-08-16,12:47:00 PM,1,2,Sapl0161,,,10000.0,4
142,2014-08-16,12:47:11 PM,1,2,Sapl0161,,,90000.0,4
143,2014-08-16,12:47:22 PM,1,2,Sapl0161,,,50000.0,3
144,2014-08-16,12:47:29 PM,1,2,Sapl0161,,,50000.0,2
145,2014-08-16,12:47:39 PM,1,2,Sapl0161,,,50000.0,5
146,2014-08-16,12:47:51 PM,1,2,Sapl0161,,,10000.0,9
147,2014-08-18,10:05:28 AM,1,2,Sapl0161,,,20000.0,11
148,2014-08-28,5:22:58 PM,1,2,Sapl0161,,,50000.0,4
149,2014-09-07,11:49:25 AM,1,2,Sapl0003,,,500000.0,15
150,2014-09-11,4:04:50 PM,1,2,Sapl0161,,,20000.0,13
151,2014-10-16,2:38:30 PM,1,2,Sapl0161,,,500000.0,3
152,2014-10-27,3:34:46 PM,1,2,Sapl0161,,,50000.0,4
153,2014-11-03,3:17:59 PM,1,2,Sapl0161,,,40000.0,13
154,2014-11-03,3:55:21 PM,1,2,Sapl0161,,,50000.0,13
155,2014-11-04,12:32:42 PM,1,2,Sapl0003,,,300000.0,8
156,2014-11-05,2:19:10 PM,1,2,Sapl0161,,,50000.0,4
157,2014-11-05,3:06:15 PM,1,2,Sapl0161,,,50000.0,11
158,2014-11-14,11:03:29 AM,1,2,Sapl0003,,,1000000.0,2
159,2014-11-17,3:21:11 PM,1,2,Sapl0161,,,200000.0,5
160,2014-11-18,10:12:10 AM,1,2,sapl0161,,,15000.0,4
161,2014-11-18,10:12:50 AM,1,2,sapl0161,,,200000.0,8
162,2014-11-18,11:39:50 AM,1,2,sapl0161,,,15000.0,12
163,2014-11-18,1:48:05 PM,1,2,sapl0161,,,200000.0,5
164,2014-11-18,1:48:32 PM,1,2,sapl0161,,,100000.0,4
165,2014-11-18,2:34:25 PM,1,2,sapl0161,,,200000.0,8
