Id,SysDate,SysTime,CompId,SessionId,FinYearId,PRJCTNO,WONo,GenDate,VendorPlan,VendorDate
1,,,,,,,,,1,
2,2021-03-22,4:58:20 PM,1,SAPL0324,8,7,J0142,12/03/2021,2,22/03/2021
3,2021-03-22,5:04:43 PM,1,SAPL0324,8,11,J0141,13/03/2021,3,22/03/2021
4,2021-03-23,9:06:32 AM,1,Sapl0325,8,11,J0141,13/03/2021,4,23/03/2021
5,2021-03-25,2:01:19 PM,1,SAPL0324,8,11,J0141,13/03/2021,5,25/03/2021
6,2021-03-25,2:02:25 PM,1,SAPL0324,8,10,J0139,12/03/2021,6,25/03/2021
7,2021-03-25,2:05:24 PM,1,SAPL0324,8,9,J0142,12/03/2021,7,25/03/2021
8,2021-03-31,11:53:44 AM,1,sapl0290,8,11,J0141,13/03/2021,8,31/03/2021
9,2021-03-31,11:57:23 AM,1,sapl0290,8,11,J0141,13/03/2021,9,31/03/2021
