id,system,query_text,normalized_query,execution_time,request_path,timestamp,parameters,result_count,error_message,user_id
16,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""CompId"" = 1 ORDER BY ""tblFinancial_master"".""FinYearId"" DESC",,0,/,2025-11-05 21:13:50.532951,{},,,1
17,django,"SELECT ""django_session"".""session_key"", ""django_session"".""session_data"", ""django_session"".""expire_date"" FROM ""django_session"" WHERE (""django_session"".""expire_date"" > '2025-11-05 21:13:55.011291' AND ""django_session"".""session_key"" = 'a3u4w5v22xfr4rjm4rvwdccwoap9s66g') LIMIT 21",,0,/,2025-11-05 21:13:55.044094,{},,,1
18,django,"SELECT ""auth_user"".""id"", ""auth_user"".""password"", ""auth_user"".""last_login"", ""auth_user"".""is_superuser"", ""auth_user"".""username"", ""auth_user"".""first_name"", ""auth_user"".""last_name"", ""auth_user"".""email"", ""auth_user"".""is_staff"", ""auth_user"".""is_active"", ""auth_user"".""date_joined"" FROM ""auth_user"" WHERE ""auth_user"".""id"" = 1 LIMIT 21",,0,/,2025-11-05 21:13:55.057285,{},,,1
19,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""FinYearId"" = 13 ORDER BY ""tblFinancial_master"".""FinYearFrom"" DESC LIMIT 1",,0,/,2025-11-05 21:13:55.068704,{},,,1
20,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""CompId"" = 1 ORDER BY ""tblFinancial_master"".""FinYearId"" DESC",,0,/,2025-11-05 21:13:55.079652,{},,,1
21,django,"SELECT ""django_session"".""session_key"", ""django_session"".""session_data"", ""django_session"".""expire_date"" FROM ""django_session"" WHERE (""django_session"".""expire_date"" > '2025-11-05 21:14:01.441378' AND ""django_session"".""session_key"" = 'a3u4w5v22xfr4rjm4rvwdccwoap9s66g') LIMIT 21",,0.001,/material-planning/planning/search/,2025-11-05 21:14:01.489102,{},,,1
22,django,"SELECT ""auth_user"".""id"", ""auth_user"".""password"", ""auth_user"".""last_login"", ""auth_user"".""is_superuser"", ""auth_user"".""username"", ""auth_user"".""first_name"", ""auth_user"".""last_name"", ""auth_user"".""email"", ""auth_user"".""is_staff"", ""auth_user"".""is_active"", ""auth_user"".""date_joined"" FROM ""auth_user"" WHERE ""auth_user"".""id"" = 1 LIMIT 21",,0,/material-planning/planning/search/,2025-11-05 21:14:01.501956,{},,,1
23,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""FinYearId"" = 13 ORDER BY ""tblFinancial_master"".""FinYearFrom"" DESC LIMIT 1",,0,/material-planning/planning/search/,2025-11-05 21:14:01.514575,{},,,1
24,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""CompId"" = 1 ORDER BY ""tblFinancial_master"".""FinYearId"" DESC",,0,/material-planning/planning/search/,2025-11-05 21:14:01.525790,{},,,1
25,django,"SELECT ""tblSD_WO_Category"".""CId"", ""tblSD_WO_Category"".""SysDate"", ""tblSD_WO_Category"".""SysTime"", ""tblSD_WO_Category"".""CompId"", ""tblSD_WO_Category"".""FinYearId"", ""tblSD_WO_Category"".""SessionId"", ""tblSD_WO_Category"".""CName"", ""tblSD_WO_Category"".""Symbol"", ""tblSD_WO_Category"".""HasSubCat"" FROM ""tblSD_WO_Category"" WHERE ""tblSD_WO_Category"".""CompId"" = 1 ORDER BY ""tblSD_WO_Category"".""CName"" ASC",,0.001,/material-planning/planning/search/,2025-11-05 21:14:01.537862,{},,,1
26,django,"SELECT ""django_session"".""session_key"", ""django_session"".""session_data"", ""django_session"".""expire_date"" FROM ""django_session"" WHERE (""django_session"".""expire_date"" > '2025-11-05 21:14:10.760234' AND ""django_session"".""session_key"" = 'a3u4w5v22xfr4rjm4rvwdccwoap9s66g') LIMIT 21",,0,/material-planning/plans/,2025-11-05 21:14:10.817733,{},,,1
27,django,"SELECT ""auth_user"".""id"", ""auth_user"".""password"", ""auth_user"".""last_login"", ""auth_user"".""is_superuser"", ""auth_user"".""username"", ""auth_user"".""first_name"", ""auth_user"".""last_name"", ""auth_user"".""email"", ""auth_user"".""is_staff"", ""auth_user"".""is_active"", ""auth_user"".""date_joined"" FROM ""auth_user"" WHERE ""auth_user"".""id"" = 1 LIMIT 21",,0,/material-planning/plans/,2025-11-05 21:14:10.830813,{},,,1
28,django,"SELECT COUNT(*) AS ""__count"" FROM ""tblMP_Material_Master"" WHERE (""tblMP_Material_Master"".""CompId"" = 1 AND ""tblMP_Material_Master"".""FinYearId"" <= 1)",,0.008,/material-planning/plans/,2025-11-05 21:14:10.841029,{},,,1
29,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""FinYearId"" = 13 ORDER BY ""tblFinancial_master"".""FinYearFrom"" DESC LIMIT 1",,0,/material-planning/plans/,2025-11-05 21:14:10.852544,{},,,1
30,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""CompId"" = 1 ORDER BY ""tblFinancial_master"".""FinYearId"" DESC",,0.001,/material-planning/plans/,2025-11-05 21:14:10.864938,{},,,1
31,django,"SELECT ""django_session"".""session_key"", ""django_session"".""session_data"", ""django_session"".""expire_date"" FROM ""django_session"" WHERE (""django_session"".""expire_date"" > '2025-11-05 21:14:19.624615' AND ""django_session"".""session_key"" = 'a3u4w5v22xfr4rjm4rvwdccwoap9s66g') LIMIT 21",,0,/material-planning/plans/,2025-11-05 21:14:19.655754,{},,,1
32,django,"SELECT ""auth_user"".""id"", ""auth_user"".""password"", ""auth_user"".""last_login"", ""auth_user"".""is_superuser"", ""auth_user"".""username"", ""auth_user"".""first_name"", ""auth_user"".""last_name"", ""auth_user"".""email"", ""auth_user"".""is_staff"", ""auth_user"".""is_active"", ""auth_user"".""date_joined"" FROM ""auth_user"" WHERE ""auth_user"".""id"" = 1 LIMIT 21",,0,/material-planning/plans/,2025-11-05 21:14:19.667509,{},,,1
33,django,"SELECT COUNT(*) AS ""__count"" FROM ""tblMP_Material_Master"" WHERE (""tblMP_Material_Master"".""CompId"" = 1 AND ""tblMP_Material_Master"".""FinYearId"" <= 1)",,0,/material-planning/plans/,2025-11-05 21:14:19.679572,{},,,1
34,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""FinYearId"" = 13 ORDER BY ""tblFinancial_master"".""FinYearFrom"" DESC LIMIT 1",,0,/material-planning/plans/,2025-11-05 21:14:19.692379,{},,,1
35,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""CompId"" = 1 ORDER BY ""tblFinancial_master"".""FinYearId"" DESC",,0,/material-planning/plans/,2025-11-05 21:14:19.705699,{},,,1
36,django,"SELECT ""django_session"".""session_key"", ""django_session"".""session_data"", ""django_session"".""expire_date"" FROM ""django_session"" WHERE (""django_session"".""expire_date"" > '2025-11-05 21:14:24.166696' AND ""django_session"".""session_key"" = 'a3u4w5v22xfr4rjm4rvwdccwoap9s66g') LIMIT 21",,0,/material-management/business-nature/,2025-11-05 21:14:24.227536,{},,,1
37,django,"SELECT ""auth_user"".""id"", ""auth_user"".""password"", ""auth_user"".""last_login"", ""auth_user"".""is_superuser"", ""auth_user"".""username"", ""auth_user"".""first_name"", ""auth_user"".""last_name"", ""auth_user"".""email"", ""auth_user"".""is_staff"", ""auth_user"".""is_active"", ""auth_user"".""date_joined"" FROM ""auth_user"" WHERE ""auth_user"".""id"" = 1 LIMIT 21",,0,/material-management/business-nature/,2025-11-05 21:14:24.242240,{},,,1
38,django,"SELECT COUNT(*) AS ""__count"" FROM ""tblMM_Supplier_BusinessNature""",,0.001,/material-management/business-nature/,2025-11-05 21:14:24.253805,{},,,1
39,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""FinYearId"" = 13 ORDER BY ""tblFinancial_master"".""FinYearFrom"" DESC LIMIT 1",,0.001,/material-management/business-nature/,2025-11-05 21:14:24.262933,{},,,1
40,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""CompId"" = 1 ORDER BY ""tblFinancial_master"".""FinYearId"" DESC",,0.001,/material-management/business-nature/,2025-11-05 21:14:24.272410,{},,,1
41,django,"SELECT ""tblMM_Supplier_BusinessNature"".""Id"", ""tblMM_Supplier_BusinessNature"".""Nature"" FROM ""tblMM_Supplier_BusinessNature"" ORDER BY ""tblMM_Supplier_BusinessNature"".""Id"" DESC LIMIT 4",,0.001,/material-management/business-nature/,2025-11-05 21:14:24.281408,{},,,1
42,django,"SELECT ""django_session"".""session_key"", ""django_session"".""session_data"", ""django_session"".""expire_date"" FROM ""django_session"" WHERE (""django_session"".""expire_date"" > '2025-11-05 21:14:30.724826' AND ""django_session"".""session_key"" = 'a3u4w5v22xfr4rjm4rvwdccwoap9s66g') LIMIT 21",,0,/material-management/masters/business-type/,2025-11-05 21:14:30.769693,{},,,1
43,django,"SELECT ""auth_user"".""id"", ""auth_user"".""password"", ""auth_user"".""last_login"", ""auth_user"".""is_superuser"", ""auth_user"".""username"", ""auth_user"".""first_name"", ""auth_user"".""last_name"", ""auth_user"".""email"", ""auth_user"".""is_staff"", ""auth_user"".""is_active"", ""auth_user"".""date_joined"" FROM ""auth_user"" WHERE ""auth_user"".""id"" = 1 LIMIT 21",,0,/material-management/masters/business-type/,2025-11-05 21:14:30.782648,{},,,1
44,django,"SELECT COUNT(*) AS ""__count"" FROM ""tblMM_Supplier_BusinessType""",,0.002,/material-management/masters/business-type/,2025-11-05 21:14:30.794655,{},,,1
45,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""FinYearId"" = 13 ORDER BY ""tblFinancial_master"".""FinYearFrom"" DESC LIMIT 1",,0,/material-management/masters/business-type/,2025-11-05 21:14:30.806177,{},,,1
46,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""CompId"" = 1 ORDER BY ""tblFinancial_master"".""FinYearId"" DESC",,0,/material-management/masters/business-type/,2025-11-05 21:14:30.816455,{},,,1
47,django,"SELECT ""django_session"".""session_key"", ""django_session"".""session_data"", ""django_session"".""expire_date"" FROM ""django_session"" WHERE (""django_session"".""expire_date"" > '2025-11-05 21:14:54.840764' AND ""django_session"".""session_key"" = 'a3u4w5v22xfr4rjm4rvwdccwoap9s66g') LIMIT 21",,0,/,2025-11-05 21:14:54.876671,{},,,1
