Id,GQNNo,GRRId,NormalAccQty,AcceptedQty,DeviatedQty,SegregatedQty,RejectedQty,RejectionReason,SN,PN,Remarks,MId
42160,0022,42564,30.0,30.0,0.0,0.0,0.0,0,,,,11829
42161,0023,42559,530.0,530.0,0.0,0.0,0.0,0,,,,11830
42162,0023,42560,460.0,460.0,0.0,0.0,0.0,0,,,,11830
42163,0023,42561,1.0,1.0,0.0,0.0,0.0,0,,,,11830
42164,0024,42556,1675.0,1675.0,0.0,0.0,0.0,0,,,,11831
42165,0024,42557,1050.0,1050.0,0.0,0.0,0.0,0,,,,11831
42166,0024,42558,1.0,1.0,0.0,0.0,0.0,0,,,,11831
42167,0025,42551,350.0,350.0,0.0,0.0,0.0,0,,,,11832
42168,0025,42552,2140.0,2140.0,0.0,0.0,0.0,0,,,,11832
42169,0025,42553,88.0,88.0,0.0,0.0,0.0,0,,,,11832
42170,0025,42554,77.0,77.0,0.0,0.0,0.0,0,,,,11832
42171,0025,42555,1.0,1.0,0.0,0.0,0.0,0,,,,11832
42172,0026,42550,50.0,50.0,0.0,0.0,0.0,0,,,,11833
42173,0027,42549,30.0,30.0,0.0,0.0,0.0,0,,,,11834
42174,0028,42547,1.0,1.0,0.0,0.0,0.0,0,,,,11835
42175,0028,42548,1.0,1.0,0.0,0.0,0.0,0,,,,11835
42176,0029,42544,1073.0,1073.0,0.0,0.0,0.0,0,,,,11836
42177,0029,42545,352.0,352.0,0.0,0.0,0.0,0,,,,11836
42178,0030,42543,2.0,2.0,0.0,0.0,0.0,0,,,,11837
42179,0031,42546,60.0,60.0,0.0,0.0,0.0,0,,,,11838
42180,0032,42542,380.0,380.0,0.0,0.0,0.0,0,,,,11839
42181,0033,42538,1.0,1.0,0.0,0.0,0.0,0,,,,11840
42182,0033,42539,1.0,1.0,0.0,0.0,0.0,0,,,,11840
42183,0033,42540,1.0,1.0,0.0,0.0,0.0,0,,,,11840
42184,0033,42541,1.0,1.0,0.0,0.0,0.0,0,,,,11840
42185,0034,42534,1.0,1.0,0.0,0.0,0.0,0,,,,11841
42186,0034,42535,1.0,1.0,0.0,0.0,0.0,0,,,,11841
42187,0034,42536,1.0,1.0,0.0,0.0,0.0,0,,,,11841
42188,0034,42537,2.0,2.0,0.0,0.0,0.0,0,,,,11841
42189,0035,42530,46.0,46.0,0.0,0.0,0.0,0,,,,11842
42190,0035,42531,58.4,58.4,0.0,0.0,0.0,0,,,,11842
42191,0035,42532,43.2,43.2,0.0,0.0,0.0,0,,,,11842
42192,0035,42533,49.7,49.7,0.0,0.0,0.0,0,,,,11842
42193,0036,42529,10.0,10.0,0.0,0.0,0.0,0,,,,11843
42194,0037,42528,50.0,50.0,0.0,0.0,0.0,0,,,,11844
42195,0038,42527,4.0,4.0,0.0,0.0,0.0,0,,,,11845
42196,0039,42525,2.0,2.0,0.0,0.0,0.0,0,,,,11846
42197,0039,42526,2.0,2.0,0.0,0.0,0.0,0,,,,11846
42198,0040,42524,150.8,150.8,0.0,0.0,0.0,0,,,,11847
42199,0041,42523,8.25,8.25,0.0,0.0,0.0,0,,,,11848
42200,0042,42519,80.0,80.0,0.0,0.0,0.0,0,,,,11849
42201,0042,42520,48.0,48.0,0.0,0.0,0.0,0,,,,11849
42202,0042,42521,1.0,1.0,0.0,0.0,0.0,0,,,,11849
42203,0042,42522,608.0,608.0,0.0,0.0,0.0,0,,,,11849
42204,0043,42518,54.0,54.0,0.0,0.0,0.0,0,,,,11850
42205,0044,42517,1.0,1.0,0.0,0.0,0.0,0,,,,11851
42206,0045,42515,10.0,10.0,0.0,0.0,0.0,0,,,,11852
42207,0045,42516,10.0,10.0,0.0,0.0,0.0,0,,,,11852
42208,0046,42514,1.0,1.0,0.0,0.0,0.0,0,,,,11853
42209,0047,42512,230.0,230.0,0.0,0.0,0.0,0,,,,11854
42210,0047,42513,300.0,300.0,0.0,0.0,0.0,0,,,,11854
42211,0048,42511,5.0,5.0,0.0,0.0,0.0,0,,,,11855
42212,0049,42510,190.6,190.6,0.0,0.0,0.0,0,,,,11856
42213,0050,42509,80.0,80.0,0.0,0.0,0.0,0,,,,11857
42214,0051,42500,9.0,9.0,0.0,0.0,0.0,0,,,,11858
42215,0052,42502,1.0,1.0,0.0,0.0,0.0,0,,,,11859
42216,0052,42503,2.0,2.0,0.0,0.0,0.0,0,,,,11859
42217,0052,42504,1.0,1.0,0.0,0.0,0.0,0,,,,11859
42218,0053,42505,29.8,29.8,0.0,0.0,0.0,0,,,,11860
42219,0053,42506,11.55,11.55,0.0,0.0,0.0,0,,,,11860
42220,0053,42507,4.0,4.0,0.0,0.0,0.0,0,,,,11860
42221,0053,42508,1.0,1.0,0.0,0.0,0.0,0,,,,11860
42222,0054,42501,1.0,1.0,0.0,0.0,0.0,0,,,,11861
42223,0055,42499,295.0,295.0,0.0,0.0,0.0,0,,,,11862
42224,0056,42498,4.0,4.0,0.0,0.0,0.0,0,,,,11863
42225,0057,42497,2.0,2.0,0.0,0.0,0.0,0,,,,11864
42226,0058,42495,23.0,23.0,0.0,0.0,0.0,0,,,,11865
42227,0058,42496,6.0,6.0,0.0,0.0,0.0,0,,,,11865
42228,0059,42494,2.0,2.0,0.0,0.0,0.0,0,,,,11866
42229,0060,42492,1.0,1.0,0.0,0.0,0.0,0,,,,11867
42230,0060,42493,50.0,50.0,0.0,0.0,0.0,0,,,,11867
42231,0061,42491,1.0,1.0,0.0,0.0,0.0,0,,,,11868
42232,0062,42489,8.0,8.0,0.0,0.0,0.0,0,,,,11869
42233,0062,42490,2.0,2.0,0.0,0.0,0.0,0,,,,11869
42234,0063,42488,1.0,1.0,0.0,0.0,0.0,0,,,,11870
42235,0064,42487,1.0,1.0,0.0,0.0,0.0,0,,,,11871
42236,0065,42486,150.0,150.0,0.0,0.0,0.0,0,,,,11872
42237,0066,42478,60.1,60.1,0.0,0.0,0.0,0,,,,11873
42238,0066,42479,24.0,24.0,0.0,0.0,0.0,0,,,,11873
42239,0066,42480,38.9,38.9,0.0,0.0,0.0,0,,,,11873
42240,0066,42481,98.4,98.4,0.0,0.0,0.0,0,,,,11873
42241,0066,42482,253.5,253.5,0.0,0.0,0.0,0,,,,11873
42242,0066,42483,168.9,168.9,0.0,0.0,0.0,0,,,,11873
42243,0067,42477,1.0,1.0,0.0,0.0,0.0,0,,,,11874
42244,0068,42474,149.8,149.8,0.0,0.0,0.0,0,,,,11875
42245,0068,42475,93.9,93.9,0.0,0.0,0.0,0,,,,11875
42246,0068,42476,124.7,124.7,0.0,0.0,0.0,0,,,,11875
42247,0069,42473,1.0,1.0,0.0,0.0,0.0,0,,,,11876
42248,0070,42484,100.0,100.0,0.0,0.0,0.0,0,,,,11877
42249,0070,42485,100.0,100.0,0.0,0.0,0.0,0,,,,11877
42250,0071,42470,1.0,1.0,0.0,0.0,0.0,0,,,,11878
42251,0071,42471,1.0,1.0,0.0,0.0,0.0,0,,,,11878
42252,0071,42472,1.0,1.0,0.0,0.0,0.0,0,,,,11878
42253,0072,42469,1.0,1.0,0.0,0.0,0.0,0,,,,11879
42254,0073,42468,15.0,15.0,0.0,0.0,0.0,0,,,,11880
42255,0074,42466,75.0,75.0,0.0,0.0,0.0,0,,,,11881
