Id,ItemId,SupplierId,Qty,Rate,Discount,DelDate,DMid
6092,61950,S098,2.0,230.0,0.0,2018-07-12,26105
6093,61951,S098,2.0,327.0,0.0,2018-07-12,26106
6094,61952,S047 ,2.0,119.0,0.0,2017-03-14,26107
6095,61953,S098,8.0,160.0,0.0,2018-07-12,26108
6096,61954,S098,2.0,24.0,0.0,2018-07-12,26109
6097,61955,S098,2.0,40.0,0.0,2018-07-12,26110
6098,61956,S098,2.0,147.0,0.0,2018-07-12,26111
6099,61957,S098,2.0,40.0,0.0,2018-07-12,26112
6100,61994,S098,6.0,40.0,0.0,2018-07-17,26168
6101,61994,S098,2.0,40.0,0.0,2017-03-14,26168
6102,61458,S098,2.0,40.0,0.0,2018-07-17,26170
6103,62016,S098,30.0,40.0,0.0,2018-07-18,26186
6104,62117,S098,4.0,7500.0,0.0,2018-07-25,26262
6105,62127,S098,4.0,621.0,0.0,2018-07-26,26268
6106,62128,S098,2.0,602.0,0.0,2018-07-26,26269
6107,62182,S098,2.0,519.0,0.0,2018-07-27,26281
6108,62183,S098,2.0,263.0,0.0,2018-07-27,26282
6109,62286,S098,8.0,1.0,0.0,2018-08-06,26336
6110,62288,S098,4.0,1.0,0.0,2018-08-06,26338
6111,62293,S098,3.0,1.0,0.0,2018-08-06,26340
6112,62295,S098,6.0,1.0,0.0,2018-08-06,26342
6113,62360,S098,2.0,1.0,0.0,2018-08-02,26390
6114,62367,S098,20.0,115.0,0.0,2018-08-02,26395
6115,62368,S047 ,2.0,790.0,0.0,2018-06-04,26396
6116,62369,S098,3.0,490.0,0.0,2018-08-02,26397
6117,62385,S098,12.0,237.0,0.0,2018-08-10,26406
6118,62386,S098,3.0,320.0,0.0,2018-08-10,26407
6119,62408,S098,2.0,1.0,0.0,2017-03-14,26412
6120,62504,S098,4.0,40.0,0.0,2018-08-22,26501
6121,62527,S098,2.0,40.0,0.0,2018-08-25,26513
6122,62690,K008,2.0,1.0,0.0,2018-09-22,26631
6123,62690,S098,4.0,1.0,0.0,2018-01-30,26631
6124,64757,S098,2.0,1.0,0.0,2018-12-17,26930
6125,64758,S098,1.0,1.0,0.0,2018-12-17,26931
6126,64759,S098,3.0,1.0,0.0,2018-12-17,26932
6127,64760,S098,2.0,1.0,0.0,2018-12-17,26933
6128,64761,S098,2.0,1.0,0.0,2018-12-17,26934
6129,64762,S098,3.0,1.0,0.0,2018-12-17,26935
6130,64763,S098,2.0,1.0,0.0,2018-12-17,26936
6131,64764,S098,2.0,1.0,0.0,2018-12-17,26937
6132,64765,S098,2.0,1.0,0.0,2018-12-17,26938
6133,64768,S098,1.0,1.0,0.0,2018-12-17,26943
6134,64769,S098,1.0,1.0,0.0,2018-12-17,26944
6135,64770,S098,2.0,1.0,0.0,2018-12-17,26945
6136,64771,S098,2.0,1.0,0.0,2018-12-17,26946
6137,64772,S098,3.0,1.0,0.0,2018-12-17,26947
6138,64773,S098,3.0,1.0,0.0,2018-12-17,26948
6139,64774,S098,1.0,1.0,0.0,2018-12-17,26949
6140,64775,S098,2.0,1.0,0.0,2018-12-17,26950
6141,64777,S098,2.0,1.0,0.0,2018-12-17,26954
6142,64806,S098,1.0,1.0,0.0,2018-12-19,27001
6143,64807,S098,1.0,1.0,0.0,2018-12-19,27002
6144,64808,S098,1.0,1.0,0.0,2018-12-19,27003
6145,64809,S098,2.0,1.0,0.0,2018-12-19,27004
6146,64810,S098,2.0,1.0,0.0,2018-12-19,27005
6147,64811,S098,4.0,1.0,0.0,2018-12-19,27006
6148,64812,S098,4.0,1.0,0.0,2018-12-19,27007
6149,64813,S098,4.0,1.0,0.0,2018-12-19,27008
6150,64814,S098,8.0,1.0,0.0,2018-12-19,27009
6151,64815,S098,2.0,1.0,0.0,2018-12-19,27010
6152,64816,S098,1.0,1.0,0.0,2018-12-19,27011
6153,64817,S098,1.0,1.0,0.0,2018-12-19,27012
6154,64818,S098,2.0,1.0,0.0,2018-12-19,27013
6155,64819,S098,6.0,1.0,0.0,2018-12-19,27014
6156,64820,S098,8.0,1.0,0.0,2018-12-19,27015
6157,64894,S241,18.0,1.0,0.0,2018-12-24,27098
