Id,SysDate,SysTime,SessionId,CompId,FinYearId,Particulars
1,2014-03-31,2:50:54 PM,Sapl0001,1,1,Reserves & Surplus
2,2014-03-31,2:51:37 PM,Sapl0001,1,1,"Capital : Issued, Subscribed, Called Up & Paid Up"
