id,ItemCode,Rate,Discount
38076,6791 015 00 0 0 048 0 0,220,0
38077,6791 015 00 0 0 048 0 0,135,0
38078,6791 015 00 0 0 048 0 0,190.00,0
38079,6791 015 00 0 0 049 0 0,120,0
38080,6791 015 00 0 0 049 0 0,108,0
38081,6791 015 00 0 0 051 0 0,125,0
38082,6791 015 00 0 0 052 0 0,125,0
38083,6791 015 00 0 0 052 0 0,98,0
38084,6791 015 00 0 0 053 0 0,125,0
38085,6791 015 00 0 0 053 0 0,108,0
38086,6791 015 00 0 0 053 0 0,135.00,0
38087,6791 015 00 0 0 053 0 0,130.00,0
38088,6791 015 00 0 0 053 0 0,135,0
38089,6791 015 00 0 0 053 0 0,150,0
38090,6791 015 00 0 0 053 0 0,150.00,0
38091,6791 015 00 0 0 053 0 0,145.00,0
38092,6791 015 00 0 0 053 0 0,145,0
38093,6791 015 00 0 0 054 0 0,160,0
38094,6791 015 00 0 0 055 0 0,108,0
38095,6791 015 00 0 0 055 0 0,135,0
38096,6791 015 00 0 0 055 0 0,150,0
38097,6791 015 00 0 0 056 0 0,125,0
38098,6791 015 00 0 0 057 0 0,98,0
38099,6791 015 00 0 0 058 0 0,98,0
38100,6791 015 00 0 0 059 0 0,108,0
38101,6791 015 00 0 0 059 0 0,98,0
38102,6791 015 00 0 0 060 0 0,106,0
38103,6791 015 00 0 0 060 0 0,135,0
38104,6791 015 00 0 0 060 0 0,150,0
38105,6791 015 00 0 0 061 0 0,108,0
38106,6791 015 00 0 0 061 0 0,135,0
38107,6791 015 00 0 0 061 0 0,150,0
38108,6791 015 00 0 0 062 0 0,125,0
38109,6791 015 00 0 0 065 0 0,230,0
38110,6791 015 00 0 0 065 0 0,240,0
38111,6791 015 00 0 0 065 0 0,240.00,0
38112,6791 015 00 0 0 065 0 0,255.00,0
38113,6791 015 00 0 0 065 0 0,255,0
38114,6791 015 00 0 0 065 0 0,230.00,0
38115,6791 015 00 0 0 066 0 0,240,0
38116,6791 015 00 0 0 066 0 0,240.00,0
38117,6791 015 00 0 0 066 0 0,255.00,0
38118,6791 015 00 0 0 066 0 0,255,0
38119,6791 015 00 0 0 067 0 0,240,0
38120,6791 015 00 0 0 067 0 0,240.00,0
38121,6791 015 00 0 0 067 0 0,255,0
38122,6791 015 00 0 0 068 0 0,155,0
38123,6791 015 00 0 0 068 0 0,155.00,0
38124,6791 015 00 0 0 068 0 0,195.00,0
38125,6791 015 00 0 0 068 0 0,170.00,0
38126,6791 015 00 0 0 068 0 0,170,0
38127,6791 015 00 0 0 068 0 0,195,0
38128,6791 015 00 0 0 068 0 0,230.00,0
38129,6791 015 00 0 0 068 0 0,175,0
38130,6791 015 00 0 0 068 0 0,230,0
38131,6791 015 00 0 0 069 0 0,95,0
38132,6791 015 00 0 0 069 0 0,95.00,0
38133,6791 015 00 0 0 069 0 0,105.00,0
38134,6791 015 00 0 0 069 0 0,105,0
38135,6791 015 00 0 0 069 0 0,255,0
38136,6791 015 00 0 0 069 0 0,110,0
38137,6791 015 00 0 0 069 0 0,110.00,0
38138,6791 015 00 0 0 070 0 0,108,0
38139,6791 015 00 0 0 070 0 0,135,0
38140,6791 015 00 0 0 070 0 0,150,0
38141,6791 015 00 0 0 071 0 0,240,0
38142,6791 015 00 0 0 072 0 0,230,0
38143,6791 015 00 0 0 072 0 0,240,0
38144,6791 015 00 0 0 072 0 0,240.00,0
38145,6791 015 00 0 0 072 0 0,245,0
38146,6791 015 00 0 0 073 0 0,135.00,0
38147,6791 015 00 0 0 073 0 0,135,0
38148,6791 015 00 0 0 073 0 0,150,0
38149,6791 015 00 0 0 074 0 0,230,0
38150,6791 015 00 0 0 075 0 0,135.00,0
38151,6791 015 00 0 0 076 0 0,155.00,0
38152,6791 015 00 0 0 076 0 0,255,0
38153,6791 015 00 0 0 077 0 0,135.00,0
38154,6791 015 00 0 0 077 0 0,135,0
38155,6791 015 00 0 0 077 0 0,205,0
38156,6791 015 00 0 0 078 0 0,155.00,0
38157,6791 015 00 0 0 080 0 0,135,0
38158,6791 015 00 0 0 080 0 0,140,0
38159,6791 015 00 0 0 081 0 0,235,0
38160,6791 015 00 0 0 081 0 0,255,0
38161,6791 015 00 0 0 081 0 0,235.00,0
38162,6791 015 00 0 0 082 0 0,184.45,0
38163,6791 015 00 0 0 083 0 0,250,0
38164,6791 015 00 0 0 083 0 0,250.00,0
38165,6791 015 00 0 0 083 0 0,255,0
38166,6791 015 00 0 0 084 0 0,250,0
38167,6791 015 00 0 0 084 0 0,255,0
38168,6791 015 00 0 0 085 0 0,205,0
38169,6791 015 00 0 0 086 0 0,205,0
38170,6791 015 00 0 0 087 0 0,230,0
38171,6791 015 00 0 0 087 0 0,255,0
38172,6791 015 00 0 0 087 0 0,230.00,0
38173,6791 015 00 0 0 088 0 0,240,0
38174,6791 015 00 0 0 088 0 0,255,0
38175,6791 015 00 0 0 089 0 0,250,0
38176,6791 015 00 0 0 089 0 0,255,0
38177,6791 015 00 0 0 090 0 0,240,0
38178,6791 015 00 0 0 090 0 0,255,0
38179,6791 015 00 0 0 090 0 0,240.00,0
38180,6791 015 00 0 0 090 0 0,230,0
38181,6791 015 00 0 0 091 0 0,255.00,0
38182,6791 015 00 0 0 092 0 0,205,0
38183,6791 015 00 0 0 093 0 0,205,0
38184,6791 015 00 0 0 094 0 0,205,0
38185,6791 015 00 0 0 095 0 0,205,0
38186,6791 015 00 0 0 096 0 0,102,0
38187,6791 015 00 0 0 097 0 0,250,0
38188,6791 015 00 0 0 097 0 0,230,0
38189,6791 015 00 0 0 097 0 0,255,0
38190,6791 015 00 0 0 098 0 0,250,0
38191,6791 015 00 0 0 099 0 0,160.00,0
38192,6791 015 00 0 0 100 0 0,160.00,0
38193,6791 015 00 0 0 101 0 0,105.00,0
38194,6791 015 00 0 0 102 0 0,255.00,0
38195,6791 015 00 0 0 103 0 0,280.00,0
38196,6791 015 00 0 0 104 0 0,255.00,0
38197,6791 015 00 0 0 104 0 0,205,0
38198,6791 015 00 0 0 106 0 0,255.00,0
38199,6791 015 00 0 0 106 0 0,205,0
38200,6791 015 00 0 0 107 0 0,255,0
38201,6791 015 00 0 0 109 0 0,255.00,0
38202,6791 015 00 0 0 110 0 0,255,0
38203,6791 015 01 0 0 001 0 0,990,20
38204,6791 015 06 0 0 001 0 0,110,20
38205,6791 015 06 0 0 001 0 0,88.00,0
38206,6791 015 06 0 0 001 0 0,156,20
38207,6791 015 06 0 0 002 0 0,163,20
38208,6791 015 06 0 0 002 0 0,130.40,0
38209,6791 015 06 0 0 002 0 0,235,20
38210,6791 015 06 0 0 003 0 0,147,20
38211,6791 015 08 0 0 001 0 0,111,20
38212,6791 015 08 0 0 002 0 0,184,20
38213,6791 015 08 0 0 003 0 0,172,20
38214,6791 015 10 0 0 001 0 0,112,20
38215,6791 015 10 0 0 002 0 0,219,20
38216,6791 015 10 0 0 003 0 0,175,20
38217,6791 015 12 0 0 001 0 0,170,20
38218,6791 015 12 0 0 001 0 0,100,0
38219,6791 015 12 0 0 002 0 0,295,20
38220,6791 015 12 0 0 003 0 0,265,20
38221,6791 015 12 0 0 004 0 0,325.00,0
38222,6791 015 12 0 0 004 0 0,493,20
38223,6791 015 12 0 0 005 0 0,125.00,0
38224,6791 015 12 0 0 005 0 0,446,20
38225,6791 015 12 0 0 005 0 0,25.00,0
38226,6791 015 12 1 0 001 0 0,475,20
38227,6791 015 12 1 0 002 0 0,541,20
38228,6791 015 12 2 0 001 0 0,377,20
38229,6791 015 12 2 0 001 0 0,301.60,0
38230,6791 015 12 2 0 002 0 0,414,20
38231,6791 015 12 2 0 002 0 0,331.20,0
38232,6791 016 00 0 0 001 0 0,140,0
38233,6791 016 00 0 0 001 1 0,2.20,0
38234,6791 016 00 0 0 001 1 0,2.45,0
38235,6791 016 01 0 0 070 0 0,25,10
38236,6791 016 01 0 0 070 0 0,12,17.5
38237,6791 016 01 0 0 070 0 0,12.50,18.5
38238,6791 016 02 0 0 100 0 0,25,10
38239,6791 016 02 0 0 100 0 0,25,0
38240,6791 016 02 0 0 100 0 0,22.50,0
38241,6791 016 03 0 0 050 0 0,15,10
38242,6791 016 03 0 0 100 0 0,25,0
38243,6791 016 03 0 0 100 0 0,25,10
38244,6791 016 04 0 0 001 0 0,25,10
38245,6791 016 04 0 0 001 0 0,25,0
38246,6791 016 04 0 0 001 0 0,22.50,0
38247,6791 016 05 0 0 001 0 0,33.32,0
38248,6791 016 05 0 0 001 0 0,33.20,10
38249,6791 016 05 0 0 500 0 0,184,0
38250,6791 016 05 0 0 500 0 0,154,0
38251,6791 016 06 0 0 001 0 0,25,10
38252,6791 016 06 0 0 001 0 0,25,0
38253,6791 016 06 0 0 001 0 0,22.50,0
38254,6791 016 07 0 0 001 0 0,25,10
38255,6791 016 07 0 0 002 0 0,130,0
38256,6791 016 07 0 0 002 0 0,150,0
38257,6791 016 07 0 0 002 1 0,130,5
38258,6791 016 07 0 0 002 1 0,0,0
38259,6791 016 07 0 0 002 1 0,123.50,0
38260,6791 016 07 0 0 002 1 0,95.00,0
38261,6791 016 07 0 0 002 1 0,95,0
38262,6791 016 07 0 0 002 1 0,123.5,0
38263,6791 016 07 0 0 002 1 0,115,0
38264,6791 016 07 0 0 003 0 0,133.50,0
38265,6791 016 07 0 0 003 0 0,95.00,0
38266,6791 016 07 0 0 004 0 0,370.00,0
38267,6791 016 08 0 0 002 0 0,25,10
38268,6791 016 08 0 0 003 0 0,13,10
38269,6791 016 09 0 0 001 0 0,11,0
38270,6791 016 10 0 0 600 0 0,12,0
38271,6791 017 00 0 0 001 0 0,5,0
38272,6791 017 00 0 0 001 0 0,6,0
