Id,ItemId,SupplierId,Qty,Rate,Discount,DelDate,DMid
6634,60258,R036,1.0,310.0,0.0,2018-05-03,25008
6635,60260,R036,1.0,290.0,0.0,2018-05-03,25010
6636,60262,R036,1.0,310.0,0.0,2018-05-03,25012
6637,60264,S061,1.0,275.0,0.0,2018-05-03,25014
6638,60266,S061,1.0,500.0,0.0,2018-05-03,25016
6639,60268,S061,1.0,230.0,0.0,2018-05-03,25018
6640,60270,S061,1.0,380.0,0.0,2018-05-03,25020
6641,60272,S061,1.0,230.0,0.0,2018-05-03,25022
6642,60274,S061,2.0,240.0,0.0,2018-05-03,25024
6643,60276,S061,1.0,400.0,0.0,2018-05-03,25026
6644,60278,S061,5.0,170.0,0.0,2018-05-03,25028
6645,60280,S061,2.0,250.0,0.0,2018-05-03,25030
6646,60282,S061,2.0,250.0,0.0,2018-05-03,25032
6647,60284,S061,2.0,240.0,0.0,2018-05-03,25034
6648,60286,S061,1.0,280.0,0.0,2018-05-03,25036
6649,60288,S061,2.0,175.0,0.0,2018-05-03,25038
6650,60290,S104,2.0,340.0,0.0,2018-05-03,25040
6651,60292,S104,1.0,280.0,0.0,2018-05-03,25042
6652,60294,S104,1.0,195.0,0.0,2018-05-03,25044
6653,60296,S104,1.0,280.0,0.0,2018-05-03,25046
6654,60298,S104,1.0,340.0,0.0,2018-05-03,25048
6655,60300,S104,1.0,290.0,0.0,2018-05-03,25050
6656,60302,S104,1.0,330.0,0.0,2018-05-03,25052
6657,60304,S104,1.0,230.0,0.0,2018-05-03,25054
6658,60306,S104,2.0,295.0,0.0,2018-05-03,25056
6659,60308,S061,2.0,185.0,0.0,2018-05-03,25058
6660,60310,S061,2.0,460.0,0.0,2018-05-03,25060
6661,60312,S061,1.0,230.0,0.0,2018-05-03,25062
6662,60314,S061,1.0,525.0,0.0,2018-05-03,25064
6663,60316,S061,1.0,500.0,0.0,2018-05-03,25066
6664,60318,S061,1.0,500.0,0.0,2018-05-03,25068
6665,60320,S061,1.0,620.0,0.0,2018-05-03,25070
6666,60322,S061,2.0,175.0,0.0,2018-05-03,25072
6667,60324,S061,1.0,260.0,0.0,2018-05-03,25074
6668,60328,S104,1.0,260.0,0.0,2018-05-03,25076
6669,60330,S104,1.0,280.0,0.0,2018-05-03,25078
6670,58993,S061,1.0,230.0,0.0,2018-05-03,25080
6671,58991,G021,1.0,1.0,0.0,2018-05-03,25082
6672,58999,S104,1.0,280.0,0.0,2018-05-04,25085
6673,60347,P066,45.0,130.0,0.0,2018-05-07,25173
