Id,PODId,GQNId,GSNId,ItemId,DebitType,DebitValue,PFAmt,ExStBasicInPer,ExStEducessInPer,ExStShecessInPer,ExStBasic,ExStEducess,ExStShecess,CustomDuty,VAT,CST,Freight,TarrifNo,BCDOpt,BCD,BCDValue,ValueForCVD,ValueForEdCessCD,EdCessOnCDOpt,EdCessOnCD,EdCessOnCDValue,SHEDCessOpt,SHEDCess,SHEDCessValue,TotDuty,TotDutyEDSHED,Insurance,ValueWithDuty,MId
32398,43031,32100,0,59488,0,0.0,0.0,9.0,0.0,0.0,97.2,0.0,0.0,0.0,105.95,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8067
32399,43032,32101,0,59490,0,0.0,0.0,9.0,0.0,0.0,126.0,0.0,0.0,0.0,137.34,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8067
32400,43033,32102,0,59492,0,0.0,0.0,9.0,0.0,0.0,24.3,0.0,0.0,0.0,26.49,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8067
32401,43034,32103,0,59491,0,0.0,0.0,9.0,0.0,0.0,121.5,0.0,0.0,0.0,132.44,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8067
32402,43035,32104,0,59493,0,0.0,0.0,9.0,0.0,0.0,93.6,0.0,0.0,0.0,102.02,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8067
32403,43036,32105,0,59494,0,0.0,0.0,9.0,0.0,0.0,59.4,0.0,0.0,0.0,64.75,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8067
32404,43037,32106,0,59495,0,0.0,0.0,9.0,0.0,0.0,25.2,0.0,0.0,0.0,27.47,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8067
32405,43052,32197,0,59648,0,0.0,0.0,9.0,0.0,0.0,162.0,0.0,0.0,0.0,176.58,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8068
32406,43053,32198,0,59650,0,0.0,0.0,9.0,0.0,0.0,57.6,0.0,0.0,0.0,62.78,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8068
32407,43054,32199,0,59652,0,0.0,0.0,9.0,0.0,0.0,57.6,0.0,0.0,0.0,62.78,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8068
32408,43055,32200,0,59654,0,0.0,0.0,9.0,0.0,0.0,1776.6,0.0,0.0,0.0,1936.49,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8068
32409,43056,32201,0,59656,0,0.0,0.0,9.0,0.0,0.0,1549.8,0.0,0.0,0.0,1689.28,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8068
32410,43203,32192,0,59541,0,0.0,0.0,9.0,0.0,0.0,16.2,0.0,0.0,0.0,17.66,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8069
32411,43204,32193,0,59542,0,0.0,0.0,9.0,0.0,0.0,17.1,0.0,0.0,0.0,18.64,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8069
32412,43205,32194,0,59493,0,0.0,0.0,9.0,0.0,0.0,46.8,0.0,0.0,0.0,51.01,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8069
32413,43206,32195,0,59830,0,0.0,0.0,9.0,0.0,0.0,48.6,0.0,0.0,0.0,52.97,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8069
32414,43207,32196,0,59832,0,0.0,0.0,9.0,0.0,0.0,100.8,0.0,0.0,0.0,109.87,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8069
32416,42301,32423,0,58818,0,0.0,0.0,14.0,0.0,0.0,3838.8,0.0,0.0,0.0,4376.23,0.0,0.0,84834000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8071
32417,42302,32424,0,58819,0,0.0,0.0,9.0,0.0,0.0,1375.2,0.0,0.0,0.0,1498.97,0.0,0.0,85015290,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8071
32418,43343,32640,0,58433,0,0.0,0.0,9.0,0.0,0.0,2557.8,0.0,0.0,0.0,2788.0,0.0,0.0,8482,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8072
32419,43381,32671,0,5724,0,0.0,0.0,9.0,0.0,0.0,8.1,0.0,0.0,0.0,8.83,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8073
32420,43382,32672,0,5722,0,0.0,0.0,9.0,0.0,0.0,29.07,0.0,0.0,0.0,31.69,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8073
32421,43383,32673,0,5593,0,0.0,0.0,9.0,0.0,0.0,135.0,0.0,0.0,0.0,147.15,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8073
32422,43384,32674,0,5552,0,0.0,0.0,9.0,0.0,0.0,40.5,0.0,0.0,0.0,44.14,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8073
32423,43385,32675,0,7647,0,0.0,0.0,9.0,0.0,0.0,18.0,0.0,0.0,0.0,19.62,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8073
32424,43386,32676,0,10800,0,0.0,0.0,9.0,0.0,0.0,6.75,0.0,0.0,0.0,7.36,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8073
32425,43387,32677,0,11858,0,0.0,0.0,9.0,0.0,0.0,54.0,0.0,0.0,0.0,58.86,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8073
32426,43388,32678,0,12010,0,0.0,0.0,9.0,0.0,0.0,44.1,0.0,0.0,0.0,48.07,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8073
32427,43389,32679,0,7259,0,0.0,0.0,9.0,0.0,0.0,1.08,0.0,0.0,0.0,1.18,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8073
