Id,ItemId,SupplierId,Qty,Rate,Discount,DelDate,DMid
13593,61711,S098,30.0,109.0,0.0,2018-07-11,26082
13594,61604,S098,2.0,165.0,0.0,2018-07-11,26083
13595,61717,S098,8.0,32.0,0.0,2018-07-11,26084
13596,61539,S098,1.0,710.0,0.0,2018-07-11,26085
13597,61537,S098,1.0,720.0,0.0,2018-07-11,26086
13598,60890,S098,2.0,320.0,0.0,2018-07-11,26087
13599,60896,S098,1.0,320.0,0.0,2018-07-11,26088
13600,60911,S098,2.0,330.0,0.0,2018-07-11,26089
13601,61872,S098,2.0,88.0,0.0,2018-07-11,26090
13602,61750,S047 ,135.0,40.0,0.0,2017-07-12,26091
13603,61653,S098,4.0,8914.0,0.0,2018-07-12,26092
13604,61585,S098,1.0,22515.0,0.0,2018-07-12,26093
13605,61235,S098,12.0,520.0,0.0,2018-07-12,26094
13606,61382,S098,4.0,700.0,0.0,2018-07-12,26095
13607,61505,S098,4.0,250.0,0.0,2018-07-12,26096
13608,61538,S098,1.0,550.0,0.0,2018-07-12,26097
13609,61940,S098,2.0,5763.0,0.0,2018-07-12,26098
13610,61631,S098,2.0,8000.0,0.0,2018-07-13,26113
13611,61734,S098,1.0,9500.0,0.0,2018-07-13,26114
13612,61706,S098,1.0,28925.0,0.0,2018-07-13,26115
13613,61707,S098,1.0,22868.0,0.0,2018-07-13,26116
13614,61708,S098,1.0,21615.0,0.0,2018-07-13,26117
13615,61709,S098,1.0,23412.0,0.0,2018-07-13,26118
13616,61619,S098,2.0,700.0,0.0,2018-07-13,26119
13617,61791,S098,2.0,442.0,0.0,2018-07-13,26120
13618,61749,S098,62.0,54.0,0.0,2018-07-13,26121
13619,61688,S098,2.0,888.0,0.0,2018-07-13,26122
13620,61223,S098,2.0,1632.0,0.0,2018-07-13,26123
13621,61943,S098,2.0,33.0,0.0,2018-07-13,26124
13622,61869,S098,1.0,899.0,0.0,2018-07-13,26125
13623,61381,S098,4.0,1184.0,0.0,2018-07-13,26126
13624,61860,S098,1.0,766.0,0.0,2018-07-13,26127
