CityId,CityName,SId
373,Shajapur,20
374,Sheopur,20
375,Shivpuri,20
376,Sidhi,20
377,Tikamgarh,20
378,Ujjain,20
379,Umaria,20
380,Vidisha,20
381,West Nimar,20
382,Ahmadnagar,21
383,Akola,21
384,Amravati,21
385,Aurangabad,21
386,Bhandara,21
387,Bid,21
388,Buldhana,21
389,Chandrapur,21
390,Dhule,21
391,Gadchiroli,21
392,Gondia,21
393,Hingoli,21
394,Jalgaon,21
395,Jalna,21
396,Kolhapur,21
397,Latur,21
398,Mumbai,21
399,Nagpur,21
400,Nanded,21
401,Nandurbar,21
402,Nashik,21
403,Osmanabad,21
404,Parbhani,21
405,Pune,21
406,Raigarh,21
407,Ratnagiri,21
408,Sangli,21
409,Satara,21
410,Sindhudurg,21
411,Solapur,21
412,Thane,21
413,Wardha,21
414,Washim,21
415,Yavatmal,21
416,Bishnupur,22
417,Chandel,22
418,Churachandpur,22
419,East Imphal,22
420,Senapati,22
421,Tamenglong,22
422,Thoubal,22
423,Ukhrul,22
424,West Imphal,22
425,East Garo Hills,23
426,East Khasi Hills,23
427,Jaintia Hills,23
428,Ri Bhoi,23
429,South Garo Hills,23
430,West Garo Hills,23
431,West Khasi Hills,23
432,Aizwal,24
433,Champhai,24
434,Chhimtuipui,24
435,Kolasib,24
436,Lawngtiai,24
437,Lunglei,24
438,Mamit,24
439,Serchhip,24
440,Kohima,25
441,Mokokchung,25
442,Mon,25
443,Phek,25
444,Tuensang,25
445,Wokha,25
446,Zunheboto,25
447,Angul,26
448,Balangir,26
449,Baleshwar,26
450,Bargarh,26
451,Bhadrak,26
452,Boudh,26
453,Cuttack,26
454,Deogarh,26
455,Dhenkanal,26
456,Gajapati,26
457,Ganjam,26
458,Jagatsinghpur,26
459,Jajpur,26
460,Jharsuguda,26
461,Kalahandi,26
462,Kandhamal(Phulbani),26
463,Kendrapara,26
464,Kendujhar,26
465,Khordha,26
466,Koraput,26
467,Malkangiri,26
468,Mayurbhanj,26
469,Nabarangapur,26
470,Nayagarh,26
471,Nuapada,26
472,Puri,26
473,Rayagada,26
474,Sambalpur,26
475,Sonapur,26
476,Sundargarh,26
477,Karaikal ,27
478,Mahe ,27
479,Pondicherry,27
480,Yanam,27
481,Amritsar,28
482,Bathinda,28
483,Faridkot,28
484,Fatehgarh Sahib,28
485,Firozpur,28
486,Gurdaspur,28
487,Hoshiarpur,28
488,Jalandhar,28
489,Kapurthala,28
490,Ludhiana,28
491,Mansa,28
492,Moga,28
493,Muktsar,28
