Id,CompId,FinYearId,WONo,ReleaseSysDate,ReleaseSysTime,ReleaseBy
107,1,1,S0039,2014-01-09,12:39:13 PM,Sapl0053
108,1,1,N0041,2014-01-10,7:35:29 PM,Sapl0161
109,1,1,S0038,2014-01-11,5:59:59 PM,Sapl0053
110,1,1,J0025,2014-01-11,6:00:01 PM,Sapl0053
111,1,1,J0009,2014-01-11,6:00:02 PM,Sapl0053
112,1,1,J0007,2014-01-11,6:00:03 PM,Sapl0053
113,1,1,E0006,2014-01-11,6:00:06 PM,Sapl0053
114,1,1,E0005,2014-01-11,6:00:07 PM,Sapl0053
115,1,1,J0031,2014-01-11,6:00:09 PM,Sapl0053
116,1,1,J0041,2014-01-11,6:00:11 PM,Sapl0053
117,1,1,J0043,2014-01-11,6:00:13 PM,Sapl0053
118,1,1,J0044,2014-01-11,6:00:15 PM,Sapl0053
119,1,1,N0005,2014-01-11,6:00:17 PM,Sapl0053
120,1,1,J0054,2014-01-11,6:00:20 PM,Sapl0053
121,1,1,J0047,2014-01-11,6:00:23 PM,Sapl0053
122,1,1,J0046,2014-01-11,6:00:25 PM,Sapl0053
123,1,1,N0009,2014-01-11,6:00:32 PM,Sapl0053
124,1,1,N0042,2014-01-11,6:00:43 PM,Sapl0053
125,1,1,N0048,2014-01-11,6:00:48 PM,Sapl0053
126,1,1,N0051,2014-01-11,6:00:52 PM,Sapl0053
127,1,1,P0001,2014-01-11,6:00:59 PM,Sapl0053
128,1,1,S0003,2014-01-11,6:01:04 PM,Sapl0053
129,1,1,S0004,2014-01-11,6:01:08 PM,Sapl0053
130,1,1,S0032,2014-01-11,6:01:13 PM,Sapl0053
131,1,1,S0036,2014-01-11,6:01:18 PM,Sapl0053
132,1,1,S0037,2014-01-11,6:01:26 PM,Sapl0053
133,1,1,N0058,2014-01-11,6:01:40 PM,Sapl0053
134,1,1,N0062,2014-01-11,6:01:45 PM,Sapl0053
135,1,1,T0011,2014-01-27,11:53:02 AM,Sapl0053
136,1,1,T0012,2014-01-27,11:53:08 AM,Sapl0053
137,1,1,T0013,2014-01-27,11:53:12 AM,Sapl0053
138,1,1,S0042,2014-02-11,12:06:04 PM,Sapl0053
139,1,1,S0041,2014-02-11,12:06:11 PM,Sapl0053
140,1,1,S0040,2014-02-11,12:06:17 PM,Sapl0053
141,1,1,S0043,2014-02-11,12:06:22 PM,Sapl0053
142,1,1,S0044,2014-02-20,11:58:00 AM,Sapl0053
143,1,1,N0065,2014-03-17,5:21:52 PM,Sapl0053
144,1,1,S0049,2014-03-31,5:02:14 PM,Sapl0053
145,1,1,N0063,2014-03-31,12:10:02 PM,Sapl0013
146,1,2,T0015,2014-04-19,10:45:20 AM,Sapl0053
147,1,2,T0014,2014-04-19,10:45:32 AM,Sapl0053
148,1,2,S0051,2014-04-21,12:30:03 PM,Sapl0053
149,1,2,J0062,2014-04-22,10:26:22 AM,Sapl0053
150,1,2,N0067,2014-04-22,12:19:00 PM,Sapl0053
151,1,2,N0066,2014-04-28,10:57:24 AM,Sapl0053
152,1,2,P0024,2014-05-05,12:33:34 PM,Sapl0053
153,1,2,N0071,2014-05-12,10:34:17 AM,Sapl0053
154,1,2,S0053,2014-05-21,4:25:32 PM,Sapl0053
155,1,2,S0054,2014-05-21,4:25:37 PM,Sapl0053
156,1,2,S0055,2014-05-21,4:25:42 PM,Sapl0053
157,1,2,N0073,2014-06-09,12:01:40 PM,Sapl0053
158,1,2,N0076,2014-06-09,12:01:55 PM,Sapl0053
159,1,2,N0077,2014-06-09,12:02:00 PM,Sapl0053
160,1,2,N0064,2014-06-09,2:02:02 PM,Sapl0053
161,1,2,P0026,2014-06-19,10:23:00 AM,Sapl0053
