Id,SysDate,SysTime,FinYearId,CompId,SessionId,ClearedQty,DId
14,2014-08-22,4:13:35 PM,2,1,Sapl0001,8.0,17
15,2014-08-22,4:13:35 PM,2,1,Sapl0001,4.0,18
16,2014-08-22,4:13:35 PM,2,1,Sapl0001,2.0,19
17,2022-01-31,3:36:58 PM,9,1,sapl0001,1.0,34
