No,DCNo,ItemCode,Description,HSN,Quantity,Rate,Amount,UOM
1,1800,-,GI TREY FOR PU DUNNAGE 40 MM,0,140,1.0,140.0,NOS
2,1800,-,GI TREY FOR PU DUNNAGE 50 MM,0,320,1.0,320.0,NOS
3,1800,-,emty theener drum (20 ltr),0,2,1.0,2.0,NOS
4,1800,-,emty theener drum (20 ltr),0,2,1.0,2.0,NOS
5,1801,-,THEENER DRUM EMTY ,0,2,1.0,2.0,NOS
6,1802,-,c trap forbrush,0,20,1.0,20.0,NOS
7,1802,-,PAINT 1024   (40 LTR),,2,1.0,2.0,NOS
8,1802,-,self threding screw,,80,1.0,80.0,NOS
9,1803,-,32*16 flat796,0,50,1.0,50.0,NOS
10,1803,-,32*16flat 371,0,50,1.0,50.0,NOS
11,1803,-,32*16 flab 376,0,50,1.0,50.0,NOS
12,1803,-,32*16 flab 370,0,150,1.0,150.0,NOS
13,1803,-,32*16 flat 769,0,50,1.0,50.0,NOS
14,1803,-,32*16 flat371,0,50,1.0,50.0,NOS
15,1803,-,32*16 flat376,0,50,1.0,50.0,NOS
16,1803,-,100*6 flat,0,50,1.0,50.0,NOS
17,1804,-,100*6 flat 286,0,50,1.0,50.0,NOS
18,1804,-,100*6 flat 1137,0,150,1.0,150.0,NOS
19,1804,-,32*16 flat 796,0,50,1.0,50.0,NOS
20,1804,-,32*16 flat371,0,50,1.0,50.0,NOS
21,1804,-,32*16 flat 376,0,50,1.0,50.0,NOS
22,1804,-,32*16 flat 370,0,150,1.0,150.0,NOS
23,1804,-,32*16 flat 1558,0,150,1.0,150.0,NOS
33,1805,-,MS FLAT 100 X 6 X 1137 MM,0,120,1.0,120.0,NOS
34,1805,-,MS FLAT 100 X 6 X 286 MM,0,3,1.0,3.0,NOS
35,1806,-,MS FLAT 32*16 786,0,50,1.0,50.0,NOS
36,1807,-,MS FLAT 32*16 786,0,50,1.0,50.0,NOS
37,1807,-,ms flat 100*6  1137,0,120,1.0,120.0,NOS
38,1807,-,body side tencin 1 set,0,1,1.0,1.0,NOS
39,1808,-,GAS SPRING,0,4,1.0,4.0,NOS
40,1809,-,ms flat32*16 371,0,40,1.0,40.0,NOS
41,1809,-,ms flat32*16 376,0,40,1.0,40.0,NOS
42,1809,-,ms flat 32*16 370 ,0,120,1.0,120.0,NOS
43,1809,-,ms flat 100*6 286,0,40,1.0,40.0,NOS
44,1809,-,ms flat 100*6  1137,0,10,1.0,10.0,NOS
45,1809,-,ms flat 30*10 96,0,16,1.0,16.0,NOS
46,1810,00791-03-03,SHAFT,0,32,1.0,32.0,NOS
47,1811,,00819-07-18,0,2,1.0,2.0,NOS
48,1811,,00819-11-02,,2,1.0,2.0,NOS
49,1811,,00819-09-03,,3,1.0,3.0,NOS
50,1811,,00819-00-03,,2,1.0,2.0,NOS
51,1812,00819-19-05,00819-19-05,0,2,1.0,2.0,NOS
52,1812,00819-07-08,00819-07-08,0,4,1.0,4.0,NOS
53,1812,00815-09-90,00815-09-90,0,2,1.0,2.0,NOS
54,1812,00816-19-01,00816-19-01,0,2,1.0,2.0,NOS
55,1813,00817-15-89,00817-15-89,0,3,1.0,3.0,NOS
56,1813,00817-03-89,00817-03-89,0,3,1.0,3.0,NOS
57,1813,00817-05-89,00817-05-89,0,3,1.0,3.0,NOS
58,1814,00816-09-01,00816-09-01,0,2,1.0,2.0,NOS
59,1814,00817-09-90,00817-09-90,0,2,1.0,2.0,NOS
60,1814,00791-03-09,00791-03-09,0,32,1.0,32.0,NOS
61,1815,-,ms flat 32*16 1558 mm,0,65,1.0,65.0,NOS
62,1815,-,ms flat 32*16 376 mm,0,15,1.0,15.0,NOS
63,1815,-,ms flat 32*16 796 mm,0,50,1.0,50.0,NOS
64,1816,00791-01-96,plate,0,1,1.0,1.0,NOS
65,1817,00816-13-88,SHAFT,0,1,1.0,1.0,NOS
66,1817,00815-09-90,SHAFT,0,2,1.0,2.0,NOS
67,1817,00816-09-01,SHAFT,0,2,1.0,2.0,NOS
68,1817,00816-19-01,SHAFT,0,2,1.0,2.0,NOS
69,1817,00815-07-11,SHAFT,0,2,1.0,2.0,NOS
70,1817,00817-05-89,SHAFT,0,3,1.0,3.0,NOS
71,1817,00817-03-89,SHAFT,0,3,1.0,3.0,NOS
72,1818,-,Container Modn Body side RH 6JM809606,0,1,1.0,1.0,NOS
73,1819,-,ms flat 100*6  1137,0,30,1.0,30.0,NOS
74,1821,-,MS FLAT 32*16 410 MM,0,82,1.0,82.0,NOS
83,1822,-,MS FLAT 32*16 300 MR,0,60,1.0,60.0,MTR
85,1823,-,MS FLAT 100*6   1 MTR,,37,1.0,37.0,MTR
86,1823,-,ms flat 100*6   3 mtr,0,10,1.0,10.0,MTR
87,1810,0778-26-02,PIN,0,8,1.0,8.0,NOS
88,1824,-,chain  (3mtr),0,1,1.0,1.0,NOS
89,1826,-,40*10 metal gi insert,0,12,1.0,12.0,NOS
90,1827,-,40*10 metal gi insert,0,12,1.0,12.0,NOS
91,1828,-,white dunnage,0,1,1.0,1.0,NOS
92,1829,008-28-04,location pin,0,24,1.0,24.0,NOS
93,1829,00791-03-03,SHAFT,0,32,1.0,32.0,NOS
94,1829,00778-25-02,pin,0,8,1.0,8.0,NOS
95,1830,-,TAIL-GATE VW SUV,0,1,1.0,1.0,NOS
99,1831,00819-07-07,sprocket axis trolley,0,10,1.0,10.0,NOS
108,1832,-,ms flat 100*6 *286,0,10,1.0,10.0,NOS
109,1832,-,ms flat 32*16 *371,0,10,1.0,10.0,NOS
110,1832,-,ms flat32*16 *376,0,10,1.0,10.0,NOS
111,1832,-,ms flat 32*16*370,0,40,1.0,40.0,NOS
112,1832,-,ms flat 32*16*1558,0,150,1.0,150.0,NOS
113,1832,-,ms flat 32*16*786,0,50,1.0,50.0,NOS
114,1832,-,weldmest50*50*4,0,40,1.0,40.0,NOS
115,1832,-,ms flat 15*6,0,61,1.0,61.0,NOS
116,1833,00778-27-02,00778-27-02,0,16,1.0,16.0,NOS
117,1833,00778-28-16,00778-28-16,0,4,1.0,4.0,NOS
118,1834,-,SHAFT,0,14,1.0,14.0,NOS
119,1835,-,SHAFT,0,32,1.0,32.0,NOS
120,1836,-,SHAFT,0,6,1.0,6.0,NOS
131,1837,-,TOP DUNNAGE STRAIGHT RH,0,23,1.0,23.0,NOS
132,1837,-,TOP DUNNAGE  DEGREE RH,0,23,1.0,23.0,NOS
133,1837,-,TOP DUNNAGE DEGREE LH,0,24,1.0,24.0,NOS
134,1837,-,TOP DUNNAGE STRAIGHT LH,0,24,1.0,24.0,NOS
135,1837,-,BOTTOM DUNNAGE,0,76,1.0,76.0,NOS
136,1838,-,RIB,0,12,1.0,12.0,NOS
137,1839,-,LOCK NUT,0,1,1.0,1.0,NOS
138,1839,-,LOCK WASHER,0,1,1.0,1.0,NOS
139,1840,-,BAR 1MTR,0,20,1.0,20.0,MTR
140,1841,-,DRILL MACHINE,0,1,1.0,1.0,NOS
141,1841,-,GRINDER,0,1,1.0,1.0,NOS
142,1841,-,MEGARING TEP,0,1,1.0,1.0,NOS
143,1841,-,SPANNER 12-13,00,2,1.0,2.0,NOS
144,1841,-,"DRILL 8.5 ,5,6.8",0,3,1.0,3.0,NOS
146,1842,00819-05-04,00819-05-04,0,1,1.0,1.0,NOS
147,1842,00819-07-04,00819-07-04,0,1,1.0,1.0,NOS
148,1842,00819-05-05,00819-05-05,0,1,1.0,1.0,NOS
149,1842,00819-09-02,00819-09-02,0,6,1.0,6.0,NOS
150,1843,00791-04-14,00791-04-14,0,4,1.0,4.0,NOS
151,1844,00819-07-33,00819-07-33,0,2,1.0,2.0,NOS
152,1844,00819-07-37,00819-07-37,0,2,1.0,2.0,NOS
153,1845,-,MS FLAT 32*16*1560 MM,0,300,1.0,300.0,NOS
154,1846,-,ROLLER SHAFT (CONVEYOR),0,20,1.0,20.0,NOS
166,1847,-,HELMET,0,7,1.0,7.0,NOS
167,1847,-,FALE SHAILD,0,2,1.0,2.0,NOS
168,1847,-,JACKET,0,4,1.0,4.0,NOS
169,1847,-,EXTENSHION BOARD,0,2,1.0,2.0,NOS
170,1847,-,YELLOW TEP,0,1,1.0,1.0,NOS
171,1847,-,WIRE ROPE,0,2,1.0,2.0,NOS
172,1847,-,FERRULE TUBE,0,1,1.0,1.0,NOS
173,1847,-,PUNCHING MACHINE,0,1,1.0,1.0,NOS
174,1847,-,TORCH,0,1,1.0,1.0,NOS
175,1847,-,PRINTING TOOL,0,1,1.0,1.0,NOS
176,1847,-,SCREW DRIVER,0,1,1.0,1.0,NOS
177,1847,-,TOOL BOX,0,1,1.0,1.0,NOS
178,1847,-,LED HELEZON,0,1,1.0,1.0,NOS
179,1847,-,3 TOP IND,0,2,1.0,2.0,NOS
180,1847,-,1.5 SQ MM CABLE,0,1,1.0,1.0,NOS
181,1847,-,MULTIMETER,0,1,1.0,1.0,NOS
182,1847,-,1.5 GREEN WIRE,0,1,1.0,1.0,NOS
183,1847,-,FEVIQUE,0,1,1.0,1.0,NOS
184,1847,-,CHAIN PULLEY,0,1,1.0,1.0,NOS
185,1847,-,SEFTY BELT,0,4,1.0,4.0,NOS
186,1847,-,MS PLET ,0,2,1.0,2.0,NOS
187,1847,-,HARDWARE MATERIAL BOX + Trolley,0,1,1.0,1.0,NOS
188,1847,-,GRESS GUN,0,1,1.0,1.0,NOS
189,1847,-,MIX HARD WARE BOX,0,1,1.0,1.0,NOS
190,1847,-,FASNER,0,50,1.0,50.0,NOS
191,1847,-,RUBBER GOMIT,0,15,1.0,15.0,NOS
192,1847,-,HAMMER,0,1,1.0,1.0,NOS
193,1847,-,TOOOL BOX SPANNER MIX SET,0,1,1.0,1.0,NOS
194,1847,-,LODER,0,1,1.0,1.0,NOS
195,1847,-,LOCK,0,2,1.0,2.0,NOS
197,1848,-,M8*20 ALLEN BOLT,0,200,1.0,200.0,NOS
198,1848,-,M10*20 ALLEN BOLT,0,100,1.0,100.0,NOS
199,1848,-,PLAIN WASHER  M8,0,200,1.0,200.0,NOS
200,1848,-,PLAIN WASHER M10,0,150,1.0,150.0,NOS
201,1848,-,SPRING WASHER M8,0,200,1.0,200.0,NOS
202,1848,-,spring washer m10,0,150,1.0,150.0,NOS
203,1848,-,DRILL MATCHINE,0,1,1.0,1.0,NOS
204,1848,-,SELF THREADING SCREW,0,100,1.0,100.0,NOS
205,1848,-,self threding TIP,0,2,1.0,2.0,NOS
206,1848,-,ALLEN KEY M6,0,2,1.0,2.0,NOS
213,1849,-,BODY SIDE MODIFICATION LH NB,0,1,1.0,1.0,NOS
214,1849,-,BODY SIDE MODIFICATION RH NB,0,1,1.0,1.0,NOS
215,1850,-,PLATE,0,1,1.0,1.0,NOS
216,1855,-,ms flat 100*6*1137,0,192,1.0,192.0,NOS
217,1855,-,ms flat 100*6*286,0,60,1.0,60.0,NOS
218,1855,-,ms flat 32*16*548,0,60,1.0,60.0,NOS
219,1855,-,ms flat 32*16*394,0,60,1.0,60.0,NOS
222,1856,-,ms flat100*6  1mtr,0,20,1.0,20.0,MTR
223,1856,-,ms flat 150*6   3mtr,0,4,1.0,4.0,MTR
224,1859,00496-13-88,SHAFT SECONDARY CONVEYOR FRAME,0,3,1.0,3.0,NOS
225,1859,00817-05-89,SHAFT RETURN ROLLER,0,3,1.0,3.0,NOS
226,1859,00817-07-89,SHAFT,0,3,1.0,3.0,NOS
227,1859,00817-03-89,SHAFT CARRYING ROLLER,0,3,1.0,3.0,NOS
228,1860,00792-05-01,50 MM INSERT FOR UPPER DUNNAGE,0,110,1.0,110.0,NOS
229,1860,00792-05-02,40 MM INSERT FOR BOTTOM DUNNAGE,0,4,1.0,4.0,NOS
230,1860,00791-03-09,ROLLER SHAFT,0,32,1.0,32.0,NOS
231,1860,-,RED PU PART,0,1,1.0,1.0,NOS
233,1861,-,J HOOK WHITH HARDWARE,0,10,1.0,10.0,NOS
234,1861,-,PINK PAINT,0,1,1.0,1.0,NOS
235,1862,-,NAYLON SHEET,0,15,1.0,15.0,NOS
236,1863,00819-19-05,AUGER MOUNTING SHAFT,0,4,1.0,4.0,NOS
237,1863,-,SAMPLE PIC,0,1,1.0,1.0,NOS
238,1864,-,box 1,0,1,1.0,1.0,NOS
239,1865,-,ms flat 32*16 *370,0,0,1.0,0.0,NOS
240,1865,-,ms flat 32*16*371,0,0,1.0,0.0,NOS
241,1865,-,ms flat 32*16*376,0,0,1.0,0.0,NOS
242,1852,-,Body Side Outer LH 6JM809605,0,4,1.0,4.0,NOS
243,1866,-,M10*20 ALLEN BOLT,0,100,1.0,100.0,NOS
244,1866,-,DRILL MATCHINE,0,1,1.0,1.0,NOS
245,1866,-,"ALLEN KEY  8,6",0,2,1.0,2.0,NOS
246,1866,-,PLAIN WASHER M10,0,100,1.0,100.0,NOS
247,1866,-,SPRING WASHER M8,0,150,1.0,150.0,NOS
248,1866,-,M8*20 ALLEN BOLT,0,150,1.0,150.0,NOS
249,1866,-,PLAIN WASHER M8,0,150,1.0,150.0,NOS
250,1866,-,PIPE WITH SLEEVE,0,4,1.0,4.0,NOS
251,1866,-,HANDLE FRAME,0,1,1.0,1.0,NOS
252,1866,-,SELF TREDING SCREW,0,50,1.0,50.0,NOS
253,1866,-,TOOL ,0,1,1.0,1.0,NOS
254,1867,00819-05-11,SPACER FOR TORQUE ARM,0,1,1.0,1.0,NOS
255,1867,00819-09-04,SPACER FOR ROLLER,0,2,1.0,2.0,NOS
256,1867,00819-09-04,SPACER FOR ROLLER,0,6,1.0,6.0,NOS
257,1867,00819-11-02,GUIDE ROLLER FOR TROLLEY UNIT,0,2,1.0,2.0,NOS
258,1867,00819-05-07,SPACER FOR MOTOR,0,1,1.0,1.0,NOS
259,1867,00819-29-04,SPACER FOR ROLLER,0,4,1.0,4.0,NOS
260,1867,791-03-04,SPALER,0,60,1.0,60.0,NOS
261,1868,501-07-18,EN8 28-32,0,2,1.0,2.0,NOS
262,1869,-,SPROKET,0,8,1.0,8.0,NOS
263,1870,00815-07-91,CONE,0,4,1.0,4.0,NOS
264,1853,-,NEW BODY SIDE OUTER LH 6JM809605,0,4,1.0,4.0,NOS
266,1871,00820-02-03 A,TOP DANNAGE INSERT,0,32,1.0,32.0,NOS
267,1872,00816-09-05,CONE,0,4,1.0,4.0,NOS
268,1872,00815-07-91,CONE,0,4,1.0,4.0,NOS
269,1873,00791-09-88,TOOL,0,4,1.0,4.0,NOS
270,1873,00791-09-89,TOOL,0,4,1.0,4.0,NOS
271,1851,-,BODY SIDE LH NEW,0,3,1.0,3.0,NOS
272,1851,-,BODY SIDE RH MODIFICATION,0,1,1.0,1.0,NOS
273,1854,-,BODY SIDE LH NEW,0,1,1.0,1.0,NOS
274,1854,-,BODY SIDE MODIFICATION RH,0,3,1.0,3.0,NOS
275,1874,-,THEENER DRUM EMTY,0,4,1.0,4.0,NOS
276,1875,-,DEGREE DUNNAGE RH ,0,1,1.0,1.0,NOS
277,1875,-,"NAME PLAT (7-LH,1-RH) WITH HARDWEARE",0,8,1.0,8.0,NOS
278,1857,-,BODY SIDE OUTER MODIFICATION RH,0,4,1.0,4.0,NOS
279,1876,-,MS FLAT 32*16*548,0,60,1.0,60.0,NOS
280,1876,-,MS FLAT 32*16*394,0,60,1.0,60.0,NOS
281,1877,00819-09-03,GUIDE ROLLER FOR AUGER,0,1,1.0,1.0,NOS
282,1878,00791-09-08,PIN FOR PIVTING,0,4,1.0,4.0,NOS
284,1878,00819-25-88,ROUND PIN,0,2,1.0,2.0,NOS
285,1878,00819-25-89,ROUND PIN -2,0,2,1.0,2.0,NOS
286,1878,00819-25-90,FORK PIN-3,0,4,1.0,4.0,NOS
287,1879,00791-03-02,"WHEEL HUB 2-LH, 2-RH",0,4,1.0,4.0,NOS
288,1879,00791-04-12,"ADAPTER FOR AGV MOTOR & GB (2-RH,2-LH)",0,4,1.0,4.0,NOS
289,1880,00791-09-57,U-BKT-08,0,4,1.0,4.0,NOS
290,1880,00791-09-56,U-BKT-01,0,4,1.0,4.0,NOS
291,1881,-,ms flat 32*16*1553,0,60,1.0,60.0,NOS
292,1881,-,ms flat 32*16*796,0,22,1.0,22.0,NOS
293,1881,-,ms flat 32*16*280 mm,,22,1.0,22.0,NOS
294,1881,-,ms flat 32*16*315 mm,0,88,1.0,88.0,NOS
295,1881,-,ms flat 100*6*286,0,22,1.0,22.0,NOS
296,1881,-,ms flat 100*6*11520,,17,1.0,17.0,NOS
297,1881,-,ms flat 15*3*6 mtr,0,33,1.0,33.0,NOS
298,1881,-,ms flat 40*10*,0,21,1.0,21.0,MTR
299,1881,-,weld mesh,0,22,1.0,22.0,NOS
300,1882,-,Cylinder Seal Kit (for telescopic cylinder),0,4,1.0,4.0,NOS
301,1883,-,UPPER DUNNAGE INSERT 50X925,0,200,1.0,200.0,NOS
302,1883,-,LOWER DUNNAGE INSERT 40X935,0,200,1.0,200.0,NOS
303,1883,-,TAILGATE DUNNAGE INSERT,0,40,1.0,40.0,NOS
304,1884,-,MAHNUM WHEEL PLATE ,0,1,1.0,1.0,NOS
305,1885,00819-05-03,X - AXIS TROLLEY WHEEL,0,1,1.0,1.0,NOS
306,1886,-,PLOUD CUTTING MACHINE,0,1,1.0,1.0,NOS
307,1887,-,ms flat 32*16*548,0,120,1.0,120.0,NOS
308,1887,-,MS FLAT 32*16*394,0,120,1.0,120.0,NOS
309,1887,-,ms flat 100*6*286,0,30,1.0,30.0,NOS
310,1887,-,ms flat 100*6*286 mm,0,120,1.0,120.0,NOS
311,1887,-,for rib 150*6 thk 3 mtr,0,10,1.0,10.0,NOS
312,1888,-,"RH PALLET DUNNAGE( TOP STRAIGHT,TOP DEGREE,BOTTOM) ",0,7,1.0,7.0,SET
313,1888,-,LH PALLET TOP STRAIGHT DUNNAGE ,0,1,1.0,1.0,NOS
314,1889,-,SHAFT,0,4,1.0,4.0,NOS
315,1890,-,DRILL MACHINE,0,1,1.0,1.0,NOS
316,1891,-,emty theener drum (20 ltr),0,2,1.0,2.0,NOS
317,1892,-,"FIRE EXTIUNGISHION 5KG-8, 2KG-1",0,9,1.0,9.0,NOS
320,1893,,RM For Body Side BASE,0,1,1.0,1.0,NOS
321,1894,,RM For Body Side BASE,0,1,1.0,1.0,NOS
322,1894,,RM for Tailgate BASE,0,1,1.0,1.0,NOS
325,1895,-,BODY SIDE OUTER MODIFICATION LH,0,1,1.0,1.0,NOS
326,1895,-,BODY SIDE OUTER MODIFICATION RH,0,3,1.0,3.0,NOS
327,1896,50.925,chanell,0,50,0.0,0.0,NOS
328,1896,50.925,chanell,0,59,0.0,0.0,NOS
338,1897,-,NEW BODY SIDE LH,0,2,1.0,2.0,NOS
339,1897,-,VW TAIL GATE,0,4,1.0,4.0,NOS
340,1897,-,NEW BODY SIDE RH,0,2,1.0,2.0,NOS
341,1898,-,ms flat 100*6*286mm ,0,180,1.0,180.0,NOS
342,1898,-,ms flat 32*16*548mm,0,180,1.0,180.0,NOS
343,1898,-,ms flat 32*16*394,0,180,1.0,180.0,NOS
344,1899,-,ms flat 30*5  60 mtr,0,60,1.0,60.0,MTR
345,1899,-,ms flat 50*5*30 mtr,0,30,1.0,30.0,MTR
346,1900,-,ms flat 32*16*394,0,20,1.0,20.0,NOS
347,1900,-,ms flat 32*16*548,0,20,1.0,20.0,NOS
348,1901,-,ROLLER,0,6,1.0,6.0,NOS
351,1902,-,C CHANNEL 70*35 3600 MM,0,2,1.0,2.0,MM
357,1902,-,MS FLAT 32X16X1558,0,8,1.0,8.0,NOS
358,1902,-,MS FLAT 30X10 96 MTR,0,1,1.0,1.0,MTR
359,1902,-,L ANGLE 50X50 3.5 MTR BEND,0,1,1.0,1.0,MTR
360,1902,-,MS FLAT 100X6 286 MM,0,36,1.0,36.0,MTR
361,1902,-,MS FLAT 100X6 1137 MM,0,8,1.0,8.0,MM
362,1902,-,UPPER DUNNAGE DEGREE,0,9,1.0,9.0,NOS
363,1902,-,UPPER DUNNAGE STRAIGHT,0,9,1.0,9.0,NOS
364,1902,-,ALUMININUM PLATE,0,1,1.0,1.0,NOS
365,1903,-,NEW BODY SIDE LH,0,8,1.0,8.0,NOS
366,1904,-,TONNER ,0,7,1.0,7.0,NOS
367,1905,0416-19-00,ROLLER,0,3,1.0,3.0,NOS
368,1906,-,BODY SIDE OUTER NEW LH,0,3,1.0,3.0,NOS
369,1906,-,BODY SIDE OUTER NEW RH,0,1,1.0,1.0,NOS
370,1907,-,MS FLAT 32*16,0,310,1.0,310.0,NOS
371,1907,-,MS FLAT 100*6,0,196,1.0,196.0,NOS
372,1908,-,ALLENKEY SET,0,1,1.0,1.0,NOS
373,1908,-,SPANNER SET,0,1,1.0,1.0,NOS
374,1908,-,SAFETY  REFECTIVE JACKET,0,1,1.0,1.0,NOS
376,1908,-,"ALLENKEY 14MM, 17MM",0,2,1.0,2.0,NOS
377,1909,-,BODY SIDE OUTER NEW LH,0,3,1.0,3.0,NOS
378,1910,-,TORCH,0,8,1.0,8.0,NOS
379,1911,-,MOUTING BRAKET,0,4,1.0,4.0,NOS
380,1911,-,CLAMP MAYLEP ,0,4,1.0,4.0,NOS
381,1911,-,BOOSH,0,4,1.0,4.0,NOS
382,1911,-,PIN,0,2,1.0,2.0,NOS
383,1911,-,BEARING BLOCK,0,4,1.0,4.0,NOS
384,1911,-,U BLOCK,0,8,1.0,8.0,NOS
385,1911,-,SPACER ,0,10,1.0,10.0,NOS
386,1911,-,U BLOCK STAND,0,3,1.0,3.0,NOS
387,1912,-,6206 BEARING,0,1,1.0,1.0,NOS
388,1912,-,ROLLER ,1,8,1.0,8.0,NOS
389,1913,00791-13-11,SPROKET,0,2,1.0,2.0,NOS
393,1914,-,MS FLAT 100*6*286MM,0,202,1.0,202.0,NOS
394,1914,-,MS FLAT 32*16*548MM,0,257,1.0,257.0,NOS
395,1914,-,MS FLAT32*16*394MM,0,257,1.0,257.0,NOS
396,1914,-,MS FLAT 32*16*770MM,0,92,1.0,92.0,NOS
397,1914,-,MS FLAT 32*16*330,0,92,1.0,92.0,NOS
398,1914,-,MS FLAT 100*6*372MM,0,93,1.0,93.0,NOS
399,1914,,,,0,0.0,0.0,NOS
400,1915,-,GRANDER,0,2,1.0,2.0,NOS
401,1916,-,C CHANNEL70*35*2000MM ,0,46,1.0,46.0,NOS
402,1916,-,C CHANNEL 70*35*1131MM,0,46,1.0,46.0,NOS
403,1916,-,SQ TUBE40*40*1131MM,0,115,1.0,115.0,NOS
404,1916,-,SQ TUBE 40*40*240MM,0,46,1.0,46.0,NOS
405,1916,-,SQ TUBE 40*40*440MM,0,92,1.0,92.0,NOS
406,1916,-,SQ TUBE 40*40*185MM,0,46,1.0,46.0,NOS
407,1916,-,SQ TUBE 40*40*225MM,0,46,1.0,46.0,NOS
408,1916,-,SQ TUBE 40*40*202 MM,0,46,1.0,46.0,NOS
409,1916,-,C CHANNEL 75*40,0,150,1.0,150.0,MTR
410,1916,-,SQ TUBE 38*38,0,246,1.0,246.0,MTR
411,1916,-,L ANGLE 50*50,0,12,1.0,12.0,MTR
412,1916,-,MESH,0,30,1.0,30.0,NOS
413,1916,-,BEND 100*6*1131MM  EXTRA MATERIAL,0,22,1.0,22.0,NOS
414,1916,-,BEND 100*6*286MM  EXTRA MATERIAL,0,10,1.0,10.0,NOS
415,1916,-,C CHANNEL 70*35*3000MM  EXTRA MATERIAL,0,1,1.0,1.0,NOS
416,1916,-,L ANGLE 50*50*6MTR EXTRA MATERIAL,0,1,1.0,1.0,NOS
417,1916,-,FLAT 12*3MM,0,90,1.0,90.0,MTR
418,1917,00791-06-07,rolling plate,0,4,1.0,4.0,NOS
419,1917,-,pin,0,2,1.0,2.0,NOS
420,1917,00791-16-03,stopper assembly,0,2,1.0,2.0,NOS
421,1918,00791-18-04,upper shaft,0,4,1.0,4.0,NOS
422,1918,00791-18-01,lower shaft,0,4,1.0,4.0,NOS
423,1918,00791-07-04,pin,0,4,1.0,4.0,NOS
424,1919,-,ms flat100*6*1137mm,0,51,1.0,51.0,NOS
425,1919,-,ms flat 12*3thk,0,24,1.0,24.0,MTR
427,1920,-,NEW PALLET SUPPLY FOR 6JM809606 BODY SIDE RH SK-SUV,0,4,70316.0,281264.0,NOS
428,1920,-,NEW SUPPLY OF VW-SUV TAIL-GATE,0,4,40200.0,160800.0,NOS
429,1921,-,Fire Entinguisher 5kg ,0,6,1.0,6.0,NOS
430,1921,-,Fire Entinguisher 2kg,0,2,1.0,2.0,NOS
431,1922,-,DUPLEX SPROKET,0,8,1.0,8.0,NOS
432,1923,00791-07-09,CYL HOLDER,0,4,1.0,4.0,NOS
433,1924,-,Tail gate bottom dunnage inserts,0,60,1.0,60.0,NOS
434,1925,-,FRONT DOOR DUNNAGE GI INSERTS (40X820 LONG),0,80,1.0,80.0,NOS
435,1926,-,small pipe wranch,0,1,1.0,1.0,NOS
445,1929,-,MS FLAT 100 X 6 X 286 BEND,0,120,1.0,120.0,NOS
446,1929,-,MS FLAT 100 X 6 X 372 BEND,0,92,1.0,92.0,NOS
447,1929,-,MS FLAT 32 X 16 X 548 BEND,0,120,1.0,120.0,NOS
448,1929,-,MS FLAT 32 X 16 X 394 BEND,0,120,1.0,120.0,NOS
449,1929,-,MS FLAT 32 X 16 X 770 BEND,0,92,1.0,92.0,NOS
450,1929,-,MS FLAT 32 X 16 X 330 BEND,0,92,1.0,92.0,NOS
451,1929,-,C CHANNEL 70 X 35 X 5 MTR,0,1,1.0,1.0,NOS
452,1929,-,L ANGLE 50X50X1100MM,0,5,1.0,5.0,NOS
453,1929,-,MS FLAT 30X 10X 6 MTR,0,5,1.0,5.0,NOS
454,1930,-,BODY SIDE DUNNAGE INSERTS 925 MM LONG,0,60,1.0,60.0,NOS
455,1930,-,BODY SIDE DUNNAGE INSERTS 930 MM LONG,0,60,1.0,60.0,NOS
456,1931,-,NEW PALLET SUPPLY FOR 6JM809606 BODY SIDE RH SK-SUV,0,4,1.0,4.0,NOS
457,1931,-,NEW SUPPLY OF VW-SUV TAIL-GATE,0,4,1.0,4.0,NOS
458,1932,-,BLDC MOTOR AND GEAR BOX- 352100072,0,1,1.0,1.0,NOS
459,1932,-,ROBOT DRIVE- SBL2360T,0,1,1.0,1.0,NOS
460,1932,-,HARNESS SET,0,1,1.0,1.0,NOS
461,1933,-,PINS ,0,12,1.0,12.0,NOS
462,1934,791-13-05,SHAFT,0,1,1.0,1.0,NOS
463,1935,-,MS FLAT 100 X 6 X 3000 MM,0,10,1.0,10.0,NOS
464,1936,00791-14-05,PINS,0,1,1.0,1.0,NOS
465,1936,00791-07-12,PIN ,0,8,1.0,8.0,NOS
466,1936,00791-01-12,PINS,0,2,1.0,2.0,NOS
467,1937,00791-13-04,SPACER,0,1,1.0,1.0,NOS
468,1937,00791-13-06,SPACER,0,1,1.0,1.0,NOS
469,1937,00791-13-01,-,0,1,1.0,1.0,NOS
470,1937,00791-13-03,-,0,1,1.0,1.0,NOS
471,1938,-,75X40 C CHANNEL ,0,48,1.0,48.0,MTR
472,1938,-,SQ. TUBE 40 X 40 ,0,80,1.0,80.0,MTR
473,1938,-,ms flat 12 x 3,0,12,1.0,12.0,MTR
474,1938,-,L ANGLE 50X50 ,0,3,1.0,3.0,MTR
475,1938,-,MESH,0,10,1.0,10.0,MTR
476,1938,-,BEND 100X6 X286,0,44,1.0,44.0,MTR
477,1938,-,BEND 32 X16 X548,0,44,1.0,44.0,MTR
478,1938,-,BEND 32 X 16 X 394,0,44,1.0,44.0,MTR
479,1938,-,MS FLAT 40 X10,0,12,1.0,12.0,MTR
480,1939,00791-07-05,spacer,0,8,1.0,8.0,NOS
481,1939,00791-17-04,saper,0,16,1.0,16.0,NOS
482,1939,00791-19-03,SPACER,0,4,1.0,4.0,NOS
