No,DCNo,ItemCode,Description,HSN,Quantity,Rate,Amount,UOM
4161,2797,,PEDASTAL STOOL,,1,1.0,1.0,NOS
4162,2797,,COVERS,,5,1.0,5.0,NOS
4163,2797,,FENSING STAND,,10,1.0,10.0,NOS
4164,2797,,MINIC STAND,,3,1.0,3.0,NOS
4165,2797,,CURTAN SENSER BKT,,1,1.0,1.0,NOS
4166,2798,,TOWER LAMP,0,4,1.0,4.0,NOS
4167,2798,,CABLE TIE 100 MM,,12,1.0,12.0,NOS
4168,2798,,CABLE TIE 200 MM,,2,1.0,2.0,NOS
4169,2798,,CABLE TIE 150 MM,,200,1.0,200.0,NOS
4170,2798,,CABLE TIE 300 MM,,200,1.0,200.0,NOS
4171,2798,,SS CUMBINE 16A,,1,1.0,1.0,NOS
4172,2798,,NC ELEMENT,,22,1.0,22.0,NOS
4173,2798,,NO ELEMENT,,43,1.0,43.0,NOS
4174,2798,,E STOP SWITCH,,8,1.0,8.0,NOS
4175,2798,,RED PUSH BUTTON,,8,1.0,8.0,NOS
4176,2798,,GREEN PUSH BUTTON,,8,1.0,8.0,NOS
4177,2798,,BLACK PUSH BUTTON,,2,1.0,2.0,NOS
4178,2798,,ORANGE PUSH BUTTON,,12,1.0,12.0,NOS
4179,2798,,INDICATER RED,,11,1.0,11.0,NOS
4180,2798,,CYL BUTTON SWITCH,,7,1.0,7.0,NOS
4181,2798,,S/W SWITTH,,12,1.0,12.0,NOS
4182,2798,,"R,Y,B TERMINAL",,15,1.0,15.0,SET
4183,2798,,GLANE PG11,,14,1.0,14.0,SET
4184,2798,,GLANE PG19,,19,1.0,19.0,NOS
4185,2798,,GLANE PG21,,10,1.0,10.0,NOS
4186,2798,,TERMINAL LINK,,13,1.0,13.0,NOS
4187,2798,,HOLE CLOSER,,20,1.0,20.0,NOS
4188,2798,,CONNECT WHEEL 10 SQ MM TERMINAL,,10,1.0,10.0,NOS
4189,2798,,TAG HOLDER,,100,1.0,100.0,NOS
4190,2798,,N BLOCK,,30,1.0,30.0,NOS
4191,2798,,CONNECT WHEEL 2.5 TERMINAL,,92,1.0,92.0,NOS
4192,2798,,2 WAY JUNCTION BOX,,8,1.0,8.0,NOS
4193,2798,,6 WAY JUNCTION BOX,,6,1.0,6.0,NOS
4194,2798,,DEVOICE NET CABLE ,,20,1.0,20.0,MTR
4195,2798,,INSULATION TAP R/Y/B/BLACK,,14,1.0,14.0,NOS
4196,2798,,LUG 0.5,,700,1.0,700.0,NOS
4197,2798,,1 MM LUG,,200,1.0,200.0,NOS
4198,2798,,2.5 MM LUG,,100,1.0,100.0,NOS
4199,2798,,"DRILL BIT 3.2,4.2",,2,1.0,2.0,NOS
4200,2798,,"TAP M5,M4",,2,1.0,2.0,NOS
4201,2798,,MULTIMITER,,1,1.0,1.0,NOS
4202,2798,,POWER CRIMPER,,1,1.0,1.0,NOS
4203,2798,,CONTROL CRIMPER,,1,1.0,1.0,NOS
4204,2798,,HITTING GUN ,,1,1.0,1.0,NOS
4205,2798,,CUTTER,,1,1.0,1.0,NOS
4206,2798,,STTIPER,,2,1.0,2.0,NOS
4207,2798,,SCREW DRIVER,,1,1.0,1.0,NOS
4208,2798,,PLAYER,,1,1.0,1.0,NOS
4209,2798,,HEXO ,,1,1.0,1.0,NOS
4210,2798,,TESTER,,2,1.0,2.0,NOS
4211,2798,,"CABLE 0.5 WHITE,GRAY,BROWN,BLUE,",,450,1.0,450.0,MTR
4212,2798,,3 CORE 0.75 SQMM GRAY CABLE,,40,1.0,40.0,MTR
4213,2798,,CABLE POLICAB 4 CORE 0.5 SQMM,,100,1.0,100.0,MTR
4214,2798,,CABLE POLICAB 3 CORE 0.5 SQMM,,100,1.0,100.0,MTR
4215,2798,,CABLE POLICAB 7 CORE 0.5 SQMM,,100,1.0,100.0,MTR
4216,2798,,CABLE POLICAB 25 CORE 0.5 SQMM,,300,1.0,300.0,MTR
4217,2798,,CAT 6 CABLE,,30,1.0,30.0,MTR
4218,2798,,"CONDUT PIPE 10 MM, 20 MM ,32 MM",,175,1.0,175.0,MTR
4219,2798,,HITTING SLIVE ,,10,1.0,10.0,MTR
4220,2798,,DINDRILL,,1,1.0,1.0,MTR
4221,2798,,PVC CABLE TRAY 25*25,,6,1.0,6.0,NOS
4222,2798,,PVC CABLE TRAY 40*60,,6,1.0,6.0,NOS
4223,2798,,SENCER M12,,13,1.0,13.0,NOS
4224,2798,,SENCER M08,,10,1.0,10.0,NOS
4225,2798,,SENCER M18,,10,1.0,10.0,NOS
4226,2798,,4 CORE SENCER CABLE ,,18,1.0,18.0,NOS
4227,2798,,MIMIK INDICATION LAMP ORANGE,,24,1.0,24.0,NOS
4228,2798,,HEX BOLT M8*30,,40,1.0,40.0,NOS
4229,2798,,HEX NUT M8,,45,1.0,45.0,NOS
4230,2798,,PLAIN WASHER M8,,80,1.0,80.0,NOS
4231,2798,,"MASKING TEP 1""",,2,1.0,2.0,NOS
4232,2798,,POINT MARKER ,,2,1.0,2.0,NOS
4233,2799,,"DRILL 3.2,4.2,5.2,6.2,8.2,10.2,6.8,8.5",0,8,1.0,8.0,NOS
4234,2799,,"TAP 4,5,6,8,10",,5,1.0,5.0,SET
4235,2799,,DRILLING MACHINE ,,1,1.0,1.0,NOS
4236,2799,,SANDER MACHINE ,,1,1.0,1.0,NOS
4237,2799,,GROUNTING MACHINE,,1,1.0,1.0,NOS
4238,2799,,WELDING MACHINE 1P,,1,1.0,1.0,SET
4239,2799,,PU TUBE BLUE,,40,1.0,40.0,MTR
4240,2799,,TOOL BOX,,1,1.0,1.0,SET
4241,2799,,"HAMER DRILL 20,22,25",,3,1.0,3.0,SET
4242,2799,,WOODEN BOX ,,1,1.0,1.0,NOS
4243,2799,,RIO PANEL,,1,1.0,1.0,NOS
4244,2799,,"PAINT BLUE,YELLO,WHITE",,3,1.0,3.0,LIT
4245,2800,,TAP RANGE (4-6),0,2,1.0,2.0,NOS
4246,2800,,"HAND TAP (SET FOR THREE) M3,M4,M5,M6",,4,1.0,4.0,SET
4247,2800,,"DRILL 3.2,5,2.2,4.5,4.2,5.5 (PER NO 2)",,12,1.0,12.0,SET
4248,2800,,"4"" GRINDING MACHINE ",,0,0.0,0.0,SET
4249,2800,,"4"" CUTTING WHEEL",,10,1.0,10.0,SET
4250,2800,,"4"" POLISH WHEEL",,3,1.0,3.0,SET
4251,2800,,"4"" GRINDING WHEEL",,7,1.0,7.0,SET
4252,2801,00895-13-03,,0,1,1.0,1.0,NOS
4253,2801,00895-14-03,,,1,1.0,1.0,NOS
4254,2801,00895-03-03,,,1,1.0,1.0,NOS
4255,2801,00895-04-03,,,1,1.0,1.0,NOS
4256,2801,00895--15-03,,,1,1.0,1.0,NOS
4257,2801,00894-15-03,,,1,1.0,1.0,NOS
4258,2801,00894-06-03,,,1,1.0,1.0,NOS
4259,2801,00895--12-03,,,1,1.0,1.0,NOS
4260,2801,00894-17-03,,,1,1.0,1.0,NOS
4261,2801,00894-18-03,,,1,1.0,1.0,NOS
4262,2801,00895-11-02,,,1,1.0,1.0,NOS
4263,2801,00895-16-03,,,1,1.0,1.0,NOS
4264,2801,k029-170-70,,,18,1.0,18.0,NOS
4265,2801,00895-16-49,,,1,1.0,1.0,NOS
4266,2801,00895-15-49,,,1,1.0,1.0,NOS
4267,2802,,WASHER,0,30,1.0,30.0,NOS
