Id,SysDate,SysTime,CompId,FinYearId,SessionId,EmpId,BillMonth,BillAmt,Taxes
62,2013-10-01,12:13:40 PM,1,1,Sapl0173,Sapl0010,9.0,297.19,6.0
63,2013-10-01,12:14:58 PM,1,1,Sapl0173,Sapl0037,9.0,235.39,6.0
64,2013-10-01,12:15:26 PM,1,1,Sapl0173,Sapl0008,9.0,604.38,6.0
65,2013-10-01,12:16:02 PM,1,1,Sapl0173,Sapl0153,9.0,534.83,6.0
66,2013-10-01,12:16:36 PM,1,1,Sapl0173,Sapl0036,9.0,475.51,6.0
67,2013-10-01,12:35:11 PM,1,1,Sapl0173,Sapl0018,9.0,390.34,6.0
68,2013-10-01,12:45:33 PM,1,1,Sapl0173,Sapl0043,9.0,539.61,6.0
69,2013-10-01,12:46:43 PM,1,1,Sapl0173,Sapl0068,9.0,266.52,6.0
70,2013-10-01,12:48:05 PM,1,1,Sapl0173,Sapl0049,9.0,269.16,6.0
71,2013-10-01,12:48:30 PM,1,1,Sapl0173,Sapl0112,9.0,191.24,6.0
72,2013-10-01,12:48:49 PM,1,1,Sapl0173,Sapl0019,9.0,484.61,6.0
73,2013-10-01,12:52:02 PM,1,1,Sapl0173,Sapl0143,9.0,146.07,6.0
74,2013-10-01,12:52:32 PM,1,1,Sapl0173,Sapl0122,9.0,140.45,6.0
75,2013-10-01,12:53:08 PM,1,1,Sapl0173,Sapl0044,9.0,230.11,6.0
76,2013-10-01,12:54:56 PM,1,1,Sapl0173,Sapl0032,9.0,140.45,6.0
77,2013-10-01,12:55:27 PM,1,1,Sapl0173,Sapl0059,9.0,235.39,6.0
78,2013-10-01,12:55:52 PM,1,1,Sapl0173,Sapl0062,9.0,448.92,6.0
79,2013-10-11,11:40:38 AM,1,1,Sapl0173,Sapl0003,9.0,0.0,6.0
80,2013-10-01,2:14:46 PM,1,1,Sapl0173,Sapl0038,9.0,198.54,6.0
81,2013-10-11,11:40:57 AM,1,1,Sapl0173,Sapl0002,9.0,0.0,6.0
82,2013-10-01,2:17:25 PM,1,1,Sapl0173,Sapl0011,9.0,709.1,6.0
83,2013-10-01,2:18:10 PM,1,1,Sapl0173,Sapl0012,9.0,412.25,6.0
